endpoint,method,used,default,version
status,getStatus,True,True,r1
applications,getCompanyApplications,False,True,r1
applications,sendApplicantGeneralDetails,False,False,r1
applications,sendApplication,False,False,r1
applications,sendApplicationAddOns,False,False,r1
applications,sendApplicationEmployers,False,False,r1
applications,sendApplicationPets,False,False,r1
applications,sendApplicationVehicles,False,False,r1
applications,updateApplication,False,False,r1
arcodes,getArCodes,True,True,r1
arpayments,getArPayments,False,True,r1
artransactions,getArInvoices,False,True,r1
artransactions,getLeaseArTransactions,False,False,r1
artransactions,getMitsLeaseArTransactions,False,False,r1
artransactions,sendLeaseArTransactionReversals,False,False,r1
artransactions,sendLeaseArTransactions,False,False,r1
communications,getMarketingPreferencePickList,False,True,r1
communications,getMarketingPreferences,False,False,r1
customers,getCustomers,True,True,r1
customers,getCustomerTestimonials,False,False,r1
customers,getTestimonialPickLists,False,False,r1
customers,searchCustomers,False,False,r1
customers,sendCustomerTestimonials,False,False,r1
customers,updateCustomers,False,False,r1
customers,updateCustomerTestimonials,False,False,r1
customers,updatePropertyResponse,False,False,r1
financial,getApCodes,True,True,r1
financial,getBankAccounts,False,False,r1
financial,getBudgetActuals,True,False,r1
financial,getBudgets,True,False,r1
financial,getFinancialPickList,False,False,r1
financial,getGlTransactions,False,False,r1
financial,getGlTrees,False,False,r1
financial,getJobCategories,False,False,r1
financial,getJobCostBudgets,False,False,r1
financial,getJobs,False,False,r1
financial,getTransactionTagLists,False,False,r1
financial,markGlTransactionsExported,False,False,r1
financial,sendBudgets,False,False,r1
financial,sendJournalEntries,False,False,r1
financial,updateBudgets,False,False,r1
leads,applyQuote,False,False,r1
leads,generateQuotes,False,False,r1
leads,getLeadEvents,False,False,r1
leads,getLeadPickLists,False,False,r1
leads,getLeads,False,True,r1
leads,getMitsLeads,False,False,r1
leads,getQuotes,False,False,r1
leads,sendLeads,False,False,r1
leads,sendMitsLeads,False,False,r1
leads,updateLeads,False,False,r1
leases,cancelLease,False,False,r1
leases,getEvictedLeases,True,False,r1
leases,getExpiringLeases,True,False,r1
leases,getLeaseDetails,True,False,r2
leases,getLeaseDocuments,False,False,r1
leases,getLeaseDocumentsList,False,False,r1
leases,getLeasePickList,False,False,r1
leases,getLeases,True,True,r2
leases,getMitsCollections,False,False,r1
leases,getMitsLeases,False,False,r1
leases,getParcelAlerts,False,False,r1
leases,getRentersInsurancePolicies,False,False,r1
leases,moveInLease,False,False,r1
leases,moveOutLease,False,False,r1
leases,onNoticeLease,False,False,r1
leases,sendLeaseActivities,False,False,r1
leases,sendLeaseDocuments,False,False,r1
leases,sendLeases,False,False,r1
leases,sendRentersInsurancePolicies,False,False,r1
leases,sendRoommateGroups,False,False,r1
leases,sendScheduledCharges,False,False,r1
leases,updateLease,False,False,r1
leases,updateScheduledCharges,False,False,r1
leasingcenter,getCallLogs,False,True,r1
leasingcenter,getLeasingCenterPickLists,False,False,r1
maintenance,getInspections,False,True,r1
maintenance,getInspectionTemplates,False,False,r1
maintenance,getWorkOrderPickLists,False,False,r1
maintenance,getWorkOrders,False,False,r1
maintenance,sendWorkOrders,False,False,r1
maintenance,updateWorkOrders,False,False,r1
pricing,getPricingPicklists,False,True,r1
pricing,insertPricing,False,False,r1
pricing,sendBudgetedRent,False,False,r1
properties,getAmenityReservations,False,False,r1
properties,getCalendarAvailability,False,False,r1
properties,getFloorPlans,True,False,r1
properties,getPetTypes,False,False,r1
properties,getPhoneNumber,False,False,r1
properties,getProperties,True,True,r1
properties,getPropertyAddOns,True,False,r1
properties,getPropertyAnnouncements,True,False,r1
properties,getPropertyPickLists,False,False,r1
properties,getRentableItems,False,False,r1
properties,getReservableAmenities,False,False,r1
properties,getWebsites,True,False,r1
properties,sendFloorplans,False,False,r1
properties,sendRentableItems,False,False,r1
propertyunits,getAmenities,False,False,r1
propertyunits,getMitsPropertyUnits,True,False,r1
propertyunits,getPropertyUnits,True,True,r1
propertyunits,getSpecials,True,False,r1
propertyunits,getUnitsAvailabilityAndPricing,True,False,r1
propertyunits,getUnitTypes,True,False,r1
propertyunits,sendAmenities,False,False,r1
propertyunits,sendPropertyUnits,False,False,r1
propertyunits,updateAmenities,False,False,r1
queue,getResponse,True,True,r1
reports,getDependentFilter,True,False,r2
reports,getReportData,True,False,r3
reports,getReportInfo,True,False,r2
reports,getReportList,True,True,r1
vendors,getInvoices,False,False,r1
vendors,getPoReceivingRecords,False,False,r1
vendors,getPurchaseOrders,False,False,r1
vendors,getTaxFormData,False,False,r1
vendors,getVendorLocations,False,False,r1
vendors,getVendorPickLists,False,False,r1
vendors,getVendors,False,True,r1
vendors,markInvoicesExported,False,False,r1
vendors,sendInvoices,False,False,r1
vendors,sendPurchaseOrders,False,False,r1
vendors,sendVendors,False,False,r1
vendors,updateInvoices,False,False,r1
vendors,updateVendors,False,False,r1
vendors,voidApPayments,False,False,r1
