Record ID#,Property Name,Floorplan Name,Unit Beds,Unit Baths,Unit Type,Unit Square Footage,Total Units,Total Beds,Excluded Beds,Total Beds Accounted For,"# of Signed New Leases, Current Term","# of Signed Renewals, Current Term","# of Signed Leases, Current Term",Beds Remaining,Budget Installment Amount,Total Budgeted Premiums,Add Pricing Tier
265,1047 Commonwealth Avenue,Not Selected,,,0 x 0,,,,0,,,,,0,,,https://gmh.quickbase.com/db/bq5hz7i6c?a=API_GenAddRecordForm&_fid_7=265&z=9tz
15,1047 Commonwealth Avenue,S1,0,1,0 x 1,,25,25,0,,14,12,26,-1,"$1,850",,https://gmh.quickbase.com/db/bq5hz7i6c?a=API_GenAddRecordForm&_fid_7=15&z=9tz
16,1047 Commonwealth Avenue,S10,0,1,0 x 1,,4,4,0,,,2,2,2,"$3,200",,https://gmh.quickbase.com/db/bq5hz7i6c?a=API_GenAddRecordForm&_fid_7=16&z=9tz
17,1047 Commonwealth Avenue,S11,0,1,0 x 1,,24,24,0,,8,13,21,3,"$1,012",,https://gmh.quickbase.com/db/bq5hz7i6c?a=API_GenAddRecordForm&_fid_7=17&z=9tz
18,1047 Commonwealth Avenue,S2,0,1,0 x 1,,11,12,0,,6,6,12,0,"$1,950",,https://gmh.quickbase.com/db/bq5hz7i6c?a=API_GenAddRecordForm&_fid_7=18&z=9tz
19,1047 Commonwealth Avenue,S3,0,1,0 x 1,,51,51,0,,17,17,34,17,"$2,000",,https://gmh.quickbase.com/db/bq5hz7i6c?a=API_GenAddRecordForm&_fid_7=19&z=9tz
20,1047 Commonwealth Avenue,S4,0,1,0 x 1,,9,8,0,,4,5,9,-1,"$2,050",,https://gmh.quickbase.com/db/bq5hz7i6c?a=API_GenAddRecordForm&_fid_7=20&z=9tz
21,1047 Commonwealth Avenue,S5,0,1,0 x 1,,10,10,0,,6,4,10,0,"$2,100",,https://gmh.quickbase.com/db/bq5hz7i6c?a=API_GenAddRecordForm&_fid_7=21&z=9tz
22,1047 Commonwealth Avenue,S6,0,1,0 x 1,,28,29,0,,22,11,33,-4,"$2,300",,https://gmh.quickbase.com/db/bq5hz7i6c?a=API_GenAddRecordForm&_fid_7=22&z=9tz
23,1047 Commonwealth Avenue,S7,0,1,0 x 1,,5,4,0,,2,2,4,0,"$2,300",,https://gmh.quickbase.com/db/bq5hz7i6c?a=API_GenAddRecordForm&_fid_7=23&z=9tz
24,1047 Commonwealth Avenue,S8,0,1,0 x 1,,11,11,0,,1,4,5,6,"$2,650",,https://gmh.quickbase.com/db/bq5hz7i6c?a=API_GenAddRecordForm&_fid_7=24&z=9tz
25,1047 Commonwealth Avenue,S9,0,1,0 x 1,,5,5,0,,4,,4,1,"$2,950",,https://gmh.quickbase.com/db/bq5hz7i6c?a=API_GenAddRecordForm&_fid_7=25&z=9tz
46,Academy 65,A1,1,1,1 x 1,,10,10,0,,5,9,14,-4,"$1,665",,https://gmh.quickbase.com/db/bq5hz7i6c?a=API_GenAddRecordForm&_fid_7=46&z=9tz
47,Academy 65,B1,2,2,2 x 2,,15,21,0,,13,8,21,0,$900,,https://gmh.quickbase.com/db/bq5hz7i6c?a=API_GenAddRecordForm&_fid_7=47&z=9tz
341,Academy 65,B1 Semi-Shared,,,0 x 0,,,21,,,15,5,20,1,,,https://gmh.quickbase.com/db/bq5hz7i6c?a=API_GenAddRecordForm&_fid_7=341&z=9tz
343,Academy 65,C1 Study,,,0 x 0,,,3,,,4,,4,-1,,,https://gmh.quickbase.com/db/bq5hz7i6c?a=API_GenAddRecordForm&_fid_7=343&z=9tz
