report_date,property_id,property_name,avg_sqft,avg_advertised_rate,units,excluded_unit_count,rentable_unit_count,avg_scheduled_rent,occupied_count,started_new_count_prior,started_new_count,started_renewal_count_prior,started_renewal_count,started_count_prior,started_count,started_percent,partially_completed_new_count_prior,partially_completed_new_count,partially_completed_renewal_count_prior,partially_completed_renewal_count,partially_completed_count_prior,partially_completed_count,partially_completed_percent,completed_new_count_prior,completed_new_count,completed_renewal_count_prior,completed_renewal_count,completed_count_prior,completed_count,completed_percent,approved_new_count_prior,approved_new_count,approved_renewal_count_prior,approved_renewal_count,approved_count_prior,approved_count,approved_percent,preleased_new_count_prior,preleased_new_count,preleased_renewal_count_prior,preleased_renewal_count,preleased_count_prior,preleased_count,preleased_percent_prior,preleased_percent,variance,available_count,scheduled_rent_total
2024-12-18,739076,1008 S. 4th,321.0759493670886,981.9871794871794,158,0,158,1006.6346153846154,155,0,0,0,0,0,0,0,28,3,1,0,29,3,0.0189873417721519,2,1,0,0,2,1,0.006329113924050633,69,98,48,55,117,153,0.9683544303797469,96,101,49,55,145,156,0.9177215189873418,0.9873417721518988,0.069620253164557,2,157035
2024-12-18,739085,1047 Commonwealth Avenue,347.5245901639344,2623.3939393939395,183,0,183,2545.6666666666665,163,0,0,1,4,1,4,0.02185792349726776,0,0,0,0,0,0,0,2,0,0,0,2,0,0,10,4,41,25,51,29,0.15846994535519127,12,4,42,29,54,33,0.29508196721311475,0.18032786885245902,-0.11475409836065573,150,84007
2024-12-18,739079,307 E. Daniel,385,989.7297297297297,40,0,40,1034.4594594594594,40,0,0,0,1,0,1,0.025,6,1,0,0,6,1,0.025,0,0,0,0,0,0,0,17,25,15,10,32,35,0.875,23,26,15,11,38,37,0.95,0.925,-0.02499999999999991,3,38275
2024-12-18,739080,501 S. 6th,448.75961538461536,871.3131313131313,104,0,104,880.7575757575758,104,0,0,0,0,0,0,0,11,3,0,0,11,3,0.028846153846153848,2,0,0,0,2,0,0,32,79,51,17,83,96,0.9230769230769231,45,82,51,17,96,99,0.9230769230769231,0.9519230769230769,0.028846153846153744,5,87195
2024-12-18,739084,908 S. 1st,365.6979166666667,1048.3116883116884,96,0,96,1140.2597402597403,94,2,0,0,0,2,0,0,7,1,2,0,9,1,0.010416666666666666,1,0,0,0,1,0,0,40,56,32,20,72,76,0.7916666666666666,49,57,34,20,83,77,0.8645833333333334,0.8020833333333334,-0.0625,19,87800
2024-12-18,641240,Academy 65,274.62459546925567,1025.2222222222222,309,0,309,1026.2777777777778,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,71,4,42,86,113,90,0.2912621359223301,76,4,42,86,118,90,0.3818770226537217,0.2912621359223301,-0.09061488673139162,219,92365
2024-12-18,676055,Academy Lincoln,322.4810126582278,718.4,632,0,632,758.1714285714286,624,2,6,0,3,2,9,0.014240506329113924,7,13,0,0,7,13,0.020569620253164556,6,11,0,5,6,16,0.02531645569620253,109,160,139,156,248,316,0.5,119,186,139,164,258,350,0.40822784810126583,0.5537974683544303,0.1455696202531645,282,265360
2024-12-18,1115679,ANOVA uCity Square,555.0672451193059,68.140625,461,0,461,2253.71875,432,1,0,0,0,1,0,0,1,0,0,0,1,0,0,20,2,0,1,20,3,0.006507592190889371,39,41,17,20,56,61,0.13232104121475055,61,43,17,21,78,64,0.16919739696312364,0.13882863340563992,-0.03036876355748372,397,144238
2024-12-18,1161867,Courts at Spring Mill Station,955.4300518134716,228.44222222222223,386,0,386,2328.711111111111,355,0,1,0,10,0,11,0.02849740932642487,0,1,0,1,0,2,0.0051813471502590676,3,3,1,1,4,4,0.010362694300518135,49,47,55,72,104,119,0.3082901554404145,52,51,56,84,108,135,0.27979274611398963,0.34974093264248707,0.06994818652849744,251,314376
2024-12-18,518044,Shortbread Lofts,296.29411764705884,1404.3032786885246,374,0,374,1217.172131147541,374,2,2,0,0,2,2,0.0053475935828877,43,7,1,0,44,7,0.01871657754010695,8,2,0,0,8,2,0.0053475935828877,279,333,24,25,303,358,0.9572192513368984,331,341,25,25,356,366,0.9518716577540107,0.9786096256684492,0.0267379679144385,8,445485
