key,value
Report Name,Pre-Lease
Version,3.3
Property Groups,"The Academy Chorro, Academy 65, The Academy Palomar, Academy Lincoln, 1008 S. 4th, 307 E. Daniel, 501 S. 6th, 908 S. 1st, 1047 Commonwealth Avenue, The Dean Campustown"
Period,09/01/2024
Lease Occupancy Types,All Lease Occupancy Types
Summarize By,Unit Type
Group By,Unit Type
Consider Pre-Leased On,Lease: Partially Completed
Leases Included,"Lease: Partially Completed, Lease: Completed, Lease: Approved, Lease: Partially Completed, Lease: Completed, Lease: Approved, Unit Assigned, No Unit Assigned"
Charge Code Details,Hide
Space Options,Do Not Show
Combine Unit Spaces With Same Lease,No
Consolidate By,Do Not Consolidate
Arrange By Property,No
YOY,Show
Pre-Lease 3.3 generated,04/30/2024 12:45 PM EDT
data as of,04/30/2024 12:45 PM EDT
