property_id,property_name,unit_type,avg_sqft,number_of_bedrooms,number_of_bathrooms,avg_advertised_rate,avg_scheduled_rent,total_schedule_rent,total_units,excluded_units,rentable_units,occupied_count,available_count,year_over_year_variance,started_new_count_prior,started_new_count,started_renewal_count_prior,started_renewal_count,started_count_prior,started_count,started_percent,partially_completed_new_count_prior,partially_completed_new_count,partially_completed_renewal_count_prior,partially_completed_renewal_count,partially_completed_count_prior,partially_completed_count,partially_completed_percent,completed_new_count_prior,completed_new_count,completed_renewal_count_prior,completed_renewal_count,completed_count_prior,completed_count,completed_percent,approved_new_count_prior,approved_new_count,approved_renewal_count_prior,approved_renewal_count,approved_count_prior,approved_count,approved_percent,preleased_new_count_prior,preleased_new_count,preleased_renewal_count_prior,preleased_renewal_count,preleased_count_prior,preleased_count,preleased_percent_prior,preleased_percent
739076,1008 S. 4th,B1,316,NA,NA,1000,1006.875,8055,8,0,8,8,0,0.125,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,5,3,3,6,8,1,4,5,3,3,7,8,0.875,1
739076,1008 S. 4th,B2,315,NA,NA,1000,1025,8200,8,0,8,8,0,0.25,0,0,0,0,0,0,0,2,1,0,0,2,1,0.125,0,0,0,0,0,0,0,1,7,3,0,4,7,0.875,3,8,3,0,6,8,0.75,1
739076,1008 S. 4th,B3,377,NA,NA,1161.3636363636363,1164.090909090909,12805,10,0,10,9,-1,0.10000000000000009,0,0,0,0,0,0,0,2,1,0,0,2,1,0.1,0,0,0,0,0,0,0,4,5,4,5,8,10,1,6,6,4,5,10,11,1,1.1
739076,1008 S. 4th,B4,462,NA,NA,1140,1187.5,2375,2,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,1,1,2,1,0,2,2,1,1
739076,1008 S. 4th,B5,464,NA,NA,1150,1197.5,2395,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,1,2,2,0,0,2,2,1,1
739076,1008 S. 4th,C1,328,NA,NA,937.5,940.4166666666666,11285,12,0,12,12,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,5,3,3,9,8,12,1,9,3,3,9,12,12,1,1
739076,1008 S. 4th,D1,276,NA,NA,858.3333333333334,869.6666666666666,13045,16,0,16,16,1,-0.0625,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,10,9,5,13,15,0.9375,7,10,9,5,16,15,1,0.9375
739076,1008 S. 4th,D1 Balcony,276,NA,NA,880,875,14000,16,0,16,16,0,0.125,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7,12,4,4,11,16,1,10,12,4,4,14,16,0.875,1
739076,1008 S. 4th,D2,306,NA,NA,899.2708333333334,926.9791666666666,44495,48,0,48,48,0,0.04166666666666663,0,0,0,0,0,0,0,9,1,1,0,10,1,0.020833333333333332,0,1,0,0,0,1,0.020833333333333332,22,25,14,21,36,46,0.9583333333333334,31,27,15,21,46,48,0.9583333333333334,1
739076,1008 S. 4th,D3 Balcony,345,NA,NA,983.75,1006.25,12075,12,0,12,10,0,0.16666666666666663,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,12,2,0,9,12,1,8,12,2,0,10,12,0.8333333333333334,1
739076,1008 S. 4th,M1 Murphy,321,NA,NA,1210,1208.75,4835,4,0,4,4,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,0,2,2,4,1,3,2,0,2,3,4,0.75,1
739076,1008 S. 4th,M1 Murphy Balcony,319,NA,NA,1244.090909090909,1246.3636363636363,13710,12,0,12,12,1,-0.08333333333333337,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,8,7,2,4,10,11,0.9166666666666666,10,7,2,4,12,11,1,0.9166666666666666
739076,1008 S. 4th,S1,432,NA,NA,1306.25,1353.75,5415,4,0,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,1,1,3,4,1,3,3,1,1,4,4,1,1
739076,1008 S. 4th,S2,406,NA,NA,1021.25,1380,5520,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,4,4,1,2,3,2,1,4,4,1,1
739085,1047 Commonwealth Avenue,Not Selected,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
739085,1047 Commonwealth Avenue,S1,308.16,0,1,2895,2850,14250,25,0,25,24,20,-0.32,1,0,0,1,1,1,0.04,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,8,4,11,4,0.16,5,0,8,5,13,5,0.52,0.2
739085,1047 Commonwealth Avenue,S2,317.5,0,1,2950,2915,5830,12,0,12,11,10,-0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,2,0.16666666666666666,0,0,4,2,4,2,0.3333333333333333,0.16666666666666666
739085,1047 Commonwealth Avenue,S3,342.5882352941176,0,1,3065,3064.4444444444443,27580,51,0,51,46,42,-0.05882352941176469,0,0,0,2,0,2,0.0392156862745098,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,10,7,10,7,0.13725490196078433,2,0,10,9,12,9,0.23529411764705882,0.17647058823529413
739085,1047 Commonwealth Avenue,S4,323.25,0,1,0,0,0,8,0,8,8,8,-0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,1,0,2,0,3,0,0.375,0
739085,1047 Commonwealth Avenue,S5,346.4,0,1,3150,3100,3100,10,0,10,9,9,-0.19999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,0.1,0,0,3,1,3,1,0.3,0.1
