property_id,property_name,property,unit_type,unit_type_subtotal,avg_sqft,avg_advertised_rate,units,excluded_unit_count,rentable_unit_count,avg_scheduled_rent,occupied_count,started_new_count_prior,started_new_count,started_renewal_count_prior,started_renewal_count,started_count_prior,started_count,started_percent,partially_completed_new_count_prior,partially_completed_new_count,partially_completed_renewal_count_prior,partially_completed_renewal_count,partially_completed_count_prior,partially_completed_count,partially_completed_percent,completed_new_count_prior,completed_new_count,completed_renewal_count_prior,completed_renewal_count,completed_count_prior,completed_count,completed_percent,approved_new_count_prior,approved_new_count,approved_renewal_count_prior,approved_renewal_count,approved_count_prior,approved_count,approved_percent,preleased_new_count_prior,preleased_new_count,preleased_renewal_count_prior,preleased_renewal_count,preleased_count_prior,preleased_count,preleased_percent_prior,preleased_percent,variance,available_count,scheduled_rent_total,number_of_bedrooms,number_of_bathrooms
739076,1008 S. 4th,1008 S. 4th,B1,B1,316,1000,8,0,8,1006.875,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,5,3,3,6,8,1,4,5,3,3,7,8,0.875,1,0.125,0,8055,NA,NA
739076,1008 S. 4th,1008 S. 4th,B2,B2,315,1000,8,0,8,1025,8,0,0,0,0,0,0,0,2,1,0,0,2,1,0.125,0,0,0,0,0,0,0,1,7,3,0,4,7,0.875,3,8,3,0,6,8,0.75,1,0.25,0,8200,NA,NA
739076,1008 S. 4th,1008 S. 4th,B3,B3,377,1161.3636363636363,10,0,10,1164.090909090909,9,0,0,0,0,0,0,0,2,1,0,0,2,1,0.1,0,0,0,0,0,0,0,4,5,4,5,8,10,1,6,6,4,5,10,11,1,1.1,0.10000000000000009,-1,12805,NA,NA
739076,1008 S. 4th,1008 S. 4th,B4,B4,462,1140,2,0,2,1187.5,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,1,1,2,1,0,2,2,1,1,0,0,2375,NA,NA
739076,1008 S. 4th,1008 S. 4th,B5,B5,464,1150,2,0,2,1197.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,1,2,2,0,0,2,2,1,1,0,0,2395,NA,NA
739076,1008 S. 4th,1008 S. 4th,C1,C1,328,937.5,12,0,12,940.4166666666666,12,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,5,3,3,9,8,12,1,9,3,3,9,12,12,1,1,0,0,11285,NA,NA
739076,1008 S. 4th,1008 S. 4th,D1,D1,276,858.3333333333334,16,0,16,869.6666666666666,16,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,10,9,5,13,15,0.9375,7,10,9,5,16,15,1,0.9375,-0.0625,1,13045,NA,NA
739076,1008 S. 4th,1008 S. 4th,D1 Balcony,D1 Balcony,276,880,16,0,16,875,16,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7,12,4,4,11,16,1,10,12,4,4,14,16,0.875,1,0.125,0,14000,NA,NA
739076,1008 S. 4th,1008 S. 4th,D2,D2,306,899.2708333333334,48,0,48,926.9791666666666,48,0,0,0,0,0,0,0,9,1,1,0,10,1,0.020833333333333332,0,1,0,0,0,1,0.020833333333333332,22,25,14,21,36,46,0.9583333333333334,31,27,15,21,46,48,0.9583333333333334,1,0.04166666666666663,0,44495,NA,NA
739076,1008 S. 4th,1008 S. 4th,D3 Balcony,D3 Balcony,345,983.75,12,0,12,1006.25,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,12,2,0,9,12,1,8,12,2,0,10,12,0.8333333333333334,1,0.16666666666666663,0,12075,NA,NA
