report_date,property_id,property_name,avg_sqft,avg_advertised_rate,units,excluded_unit_count,rentable_unit_count,avg_scheduled_rent,occupied_count,started_new_count_prior,started_new_count,started_renewal_count_prior,started_renewal_count,started_count_prior,started_count,started_percent,partially_completed_new_count_prior,partially_completed_new_count,partially_completed_renewal_count_prior,partially_completed_renewal_count,partially_completed_count_prior,partially_completed_count,partially_completed_percent,completed_new_count_prior,completed_new_count,completed_renewal_count_prior,completed_renewal_count,completed_count_prior,completed_count,completed_percent,approved_new_count_prior,approved_new_count,approved_renewal_count_prior,approved_renewal_count,approved_count_prior,approved_count,approved_percent,preleased_new_count_prior,preleased_new_count,preleased_renewal_count_prior,preleased_renewal_count,preleased_count_prior,preleased_count,preleased_percent_prior,preleased_percent,variance,available_count,scheduled_rent_total
2024-12-20,739076,1008 S. 4th,321.0759493670886,983.2165605095541,158,0,158,1007.7070063694267,155,0,0,0,0,0,0,0,28,3,1,0,29,3,0.0189873417721519,2,1,0,0,2,1,0.006329113924050633,69,98,48,55,117,153,0.9683544303797469,99,102,49,55,148,157,0.9367088607594937,0.9936708860759493,0.05696202531645567,158,158210
2024-12-20,739085,1047 Commonwealth Avenue,347.5245901639344,2623.3939393939395,183,0,183,2545.6666666666665,163,0,0,0,4,0,4,0.02185792349726776,0,0,1,0,1,0,0,2,0,0,0,2,0,0,10,4,41,25,51,29,0.15846994535519127,12,4,42,29,54,33,0.29508196721311475,0.18032786885245902,-0.11475409836065573,183,84007
2024-12-20,739079,307 E. Daniel,385,989.7297297297297,40,0,40,1034.4594594594594,40,0,0,0,1,0,1,0.025,6,1,0,0,6,1,0.025,0,0,0,0,0,0,0,17,25,15,10,32,35,0.875,23,26,15,11,38,37,0.95,0.925,-0.02499999999999991,40,38275
2024-12-20,739080,501 S. 6th,448.75961538461536,871.3131313131313,104,0,104,880.7575757575758,104,0,0,0,0,0,0,0,11,3,0,0,11,3,0.028846153846153848,2,0,0,0,2,0,0,32,79,51,17,83,96,0.9230769230769231,45,82,51,17,96,99,0.9230769230769231,0.9519230769230769,0.028846153846153744,104,87195
2024-12-20,739084,908 S. 1st,365.6979166666667,1049.9358974358975,96,0,96,1140.7051282051282,94,0,0,0,0,0,0,0,8,1,2,0,10,1,0.010416666666666666,2,1,0,0,2,1,0.010416666666666666,40,56,32,20,72,76,0.7916666666666666,50,58,34,20,84,78,0.875,0.8125,-0.0625,96,88975
2024-12-20,641240,Academy 65,274.62459546925567,1024.9450549450548,309,0,309,1022.5274725274726,302,0,0,0,0,0,0,0,0,1,0,0,0,1,0.003236245954692557,5,0,0,0,5,0,0,71,4,42,86,113,90,0.2912621359223301,76,5,42,86,118,91,0.3818770226537217,0.29449838187702265,-0.08737864077669905,309,93050
2024-12-20,676055,Academy Lincoln,322.4810126582278,719.5518207282913,632,0,632,758.795518207283,624,6,5,1,0,7,5,0.007911392405063292,7,9,0,0,7,9,0.014240506329113924,7,1,0,0,7,1,0.0015822784810126582,110,178,139,164,249,342,0.5411392405063291,130,193,140,164,270,357,0.4272151898734177,0.564873417721519,0.13765822784810128,632,270890
2024-12-20,1115679,ANOVA uCity Square,555.0672451193059,68.140625,461,0,461,2253.71875,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,21,1,0.0021691973969631237,40,42,17,21,57,63,0.13665943600867678,61,43,17,21,78,64,0.16919739696312364,0.13882863340563992,-0.03036876355748372,461,144238
2024-12-20,1161867,Courts at Spring Mill Station,955.4300518134716,257.0835714285714,386,0,386,2335.3785714285714,354,0,1,0,7,0,8,0.02072538860103627,0,0,0,2,0,2,0.0051813471502590676,1,5,1,3,2,8,0.02072538860103627,51,47,55,75,106,122,0.3160621761658031,52,53,56,87,108,140,0.27979274611398963,0.3626943005181347,0.0829015544041451,386,326953
2024-12-20,518044,Shortbread Lofts,296.29411764705884,1409.5283018867924,374,0,374,1219.7708894878706,374,2,3,0,0,2,3,0.008021390374331552,43,7,1,0,44,7,0.01871657754010695,8,0,0,0,8,0,0,279,336,24,25,303,361,0.9652406417112299,332,346,25,25,357,371,0.9545454545454546,0.9919786096256684,0.03743315508021383,374,452535
2024-12-20,952515,SOVA,394.1078431372549,1048.264705882353,816,0,816,1072.9117647058824,804,2,2,2,4,4,6,0.007352941176470588,13,10,0,0,13,10,0.012254901960784314,18,4,4,0,22,4,0.004901960784313725,94,34,206,286,300,320,0.39215686274509803,127,50,212,290,339,340,0.41544117647058826,0.4166666666666667,0.001225490196078427,816,364790
2024-12-20,577897,Station Nine,965.0433436532508,806.9441666666667,323,0,323,1922.4583333333333,306,0,1,0,2,0,3,0.009287925696594427,0,0,0,0,0,0,0,3,1,0,0,3,1,0.0030959752321981426,37,37,5,7,42,44,0.13622291021671826,40,39,5,9,45,48,0.1393188854489164,0.14860681114551083,0.009287925696594423,323,92278
2024-12-20,518041,The Academy at Frisco,367.2203125,940.6567425569177,640,0,640,1014.4570928196147,630,5,6,0,2,5,8,0.0125,26,7,0,0,26,7,0.0109375,2,5,0,0,2,5,0.0078125,216,300,315,251,531,551,0.8609375,249,318,315,253,564,571,0.88125,0.8921875,0.010937500000000044,640,579255
2024-12-20,518042,The Academy on Charles,315.0701219512195,1617.71875,328,0,328,1631.25,326,1,0,0,0,1,0,0,10,7,0,0,10,7,0.021341463414634148,3,5,0,0,3,5,0.01524390243902439,71,81,93,67,164,148,0.45121951219512196,85,93,93,67,178,160,0.5426829268292683,0.4878048780487805,-0.054878048780487854,328,261000
2024-12-20,1197886,The Caswell at Runnymeade,1270.5222672064776,2817.9576271186443,249,2,247,3262.2966101694915,212,1,1,0,2,1,3,0.012145748987854251,0,0,0,0,0,0,0,7,4,0,9,7,13,0.05263157894736842,74,58,0,44,74,102,0.41295546558704455,82,63,0,55,82,118,0.3319838056680162,0.4777327935222672,0.145748987854251,247,384951
2024-12-20,833617,The Dean Campustown,178.5625,1484.0818584070796,672,0,672,1274.9004424778761,656,2,1,0,5,2,6,0.008928571428571428,15,4,4,2,19,6,0.008928571428571428,14,1,2,0,16,1,0.001488095238095238,195,210,214,229,409,439,0.6532738095238095,226,216,220,236,446,452,0.6636904761904762,0.6726190476190477,0.008928571428571508,672,576255
2024-12-20,1197887,The Dean Reno,305.6106080206986,1008.6216931216932,773,0,773,1022.1878306878307,636,17,23,5,16,22,39,0.050452781371280724,11,26,3,0,14,26,0.03363518758085381,33,2,4,0,37,2,0.00258732212160414,67,136,71,175,138,311,0.4023285899094437,128,187,83,191,211,378,0.2729624838292367,0.4890038809831824,0.2160413971539457,773,386387
2024-12-20,518046,The Rise at Northgate,376,1193.733681462141,465,0,465,1240.0391644908616,465,1,4,0,1,1,5,0.010752688172043012,19,4,3,0,22,4,0.008602150537634409,7,12,0,1,7,13,0.02795698924731183,112,134,255,227,367,361,0.7763440860215054,139,154,258,229,397,383,0.853763440860215,0.8236559139784946,-0.03010752688172047,465,474935
2024-12-20,1143679,Torre,331.24014336917566,1412.7896253602305,558,0,558,1407.8126801152737,500,2,8,0,7,2,15,0.026881720430107527,8,4,0,2,8,6,0.010752688172043012,16,2,0,0,16,2,0.0035842293906810036,206,156,111,168,317,324,0.5806451612903226,232,170,111,177,343,347,0.6146953405017921,0.6218637992831542,0.007168458781362075,558,488511
2024-12-20,1311849,Venue at North Campus,104.07356948228883,1021.5619047619048,734,0,734,1111.057142857143,629,10,4,15,8,25,12,0.01634877384196185,14,4,6,0,20,4,0.005449591280653951,11,1,1,0,12,1,0.0013623978201634877,105,54,114,139,219,193,0.26294277929155313,140,63,136,147,276,210,0.3760217983651226,0.28610354223433243,-0.08991825613079019,734,233322
