key,value,property_id,property_name,leasing_week
Reporting Cycle,Monday-Sunday,bower,Bower,2024-12-01
Lease Launch Date,n/a,bower,Bower,2024-12-01
Renewal Launch Date,n/a,bower,Bower,2024-12-01
Current Occupancy,0.95,bower,Bower,2024-12-01
Last Year Occupancy,0,bower,Bower,2024-12-01
Current Pre-Lease,0.93,bower,Bower,2024-12-01
Last Year Pre-Lease,0,bower,Bower,2024-12-01
Total Renewals,0,bower,Bower,2024-12-01
Total New Leases,0,bower,Bower,2024-12-01
Total Leases: Weekly,0,bower,Bower,2024-12-01
Traffic: Weekly,2,bower,Bower,2024-12-01
Current Incentive,None,bower,Bower,2024-12-01
Incentive Amount,0,bower,Bower,2024-12-01
Data Last Updated,45338,bower,Bower,2024-12-01
