key,value,property_id,property_name,leasing_week
University Shuttle,No,bower,Bower,2024-12-01
Private Shuttle,No,bower,Bower,2024-12-01
Limited Access Gates,Yes,bower,Bower,2024-12-01
Fitness Center,Yes,bower,Bower,2024-12-01
Computer Lounge,No,bower,Bower,2024-12-01
Game Room,Yes,bower,Bower,2024-12-01
Spray Tanning,No,bower,Bower,2024-12-01
UV Tanning,No,bower,Bower,2024-12-01
Pool,Yes,bower,Bower,2024-12-01
Hot Tub,No,bower,Bower,2024-12-01
24hr Package System,Yes,bower,Bower,2024-12-01
EV Charging Stations,Yes,bower,Bower,2024-12-01
Car Sharing Services,No,bower,Bower,2024-12-01
Smart Vending,No,bower,Bower,2024-12-01
Mini Market,No,bower,Bower,2024-12-01
Movie Theatre,No,bower,Bower,2024-12-01
Co-Working/Study Spaces,Yes,bower,Bower,2024-12-01
Free Printing,No,bower,Bower,2024-12-01
Coffee Bar,No,bower,Bower,2024-12-01
Retail,Yes,bower,Bower,2024-12-01
Sauna/Spa,No,bower,Bower,2024-12-01
Cycling/Yoga Studio,Yes,bower,Bower,2024-12-01
Rentable Guest Suite,No,bower,Bower,2024-12-01
Wellness Classes,No,bower,Bower,2024-12-01
24hr Concierge,No,bower,Bower,2024-12-01
Outdoor Grill Area,Yes,bower,Bower,2024-12-01
Sand Volleyball Court,No,bower,Bower,2024-12-01
Basketball Court,No,bower,Bower,2024-12-01
Pets Allowed,Yes,bower,Bower,2024-12-01
Dog Wash,Yes,bower,Bower,2024-12-01
Dog Park,Yes,bower,Bower,2024-12-01
