key,value,property_id,property_name,leasing_week
Property,Bower,bower,Bower,2024-12-01
Website,NA,bower,Bower,2024-12-01
Address,"771 Beacon St Apartment 775, Boston, MA 02215",bower,Bower,2024-12-01
Phone Number,(617) 341-9700,bower,Bower,2024-12-01
Developer,The Green Cities Company,bower,Bower,2024-12-01
Manager,Greystar,bower,Bower,2024-12-01
Owner,Greystar,bower,Bower,2024-12-01
Property Type,Conventional,bower,Bower,2024-12-01
Property Status,Operational,bower,Bower,2024-12-01
Product Type,High-Rise,bower,Bower,2024-12-01
Property Rating,5,bower,Bower,2024-12-01
Comp Status,Tier 2,bower,Bower,2024-12-01
Year Built / Renovated,2020,bower,Bower,2024-12-01
Most Recent Sale,NA,bower,Bower,2024-12-01
Distance From Campus,0.2 miles,bower,Bower,2024-12-01
