floorplan_type,description,count,sf_per_bed,bed,bath,available,market_rent_per_bed,market_rent_per_sf,concessions_gift_card,concessions_one_time_rent,concessions_monthly_rent,effective_rent_per_bed,effective_rent_per_sf,bundled_rent_per_bed,bundled_rent_per_sf,property_id,property_name,leasing_week
Studio,a1,4,407,1,1,No,2350,5.773955773955774,0,0,0,2350,5.773955773955774,2350,5.773955773955774,bower,Bower,2024-12-01
Studio,a3,4,663,1,1,Yes,3920,5.912518853695325,0,0,0,3920,5.912518853695325,3920,5.912518853695325,bower,Bower,2024-12-01
Studio,e2,4,427,1,1,Yes,3377,7.908665105386417,0,0,0,3377,7.908665105386417,3377,7.908665105386417,bower,Bower,2024-12-01
Studio,e8,4,557,1,1,No,2988,5.364452423698384,0,0,0,2988,5.364452423698384,2988,5.364452423698384,bower,Bower,2024-12-01
Studio,e7,4,553,1,1,No,3345,6.048824593128391,0,0,0,3345,6.048824593128391,3345,6.048824593128391,bower,Bower,2024-12-01
Studio,e10,4,570,1,1,No,3050,5.350877192982456,0,0,0,3050,5.350877192982456,3050,5.350877192982456,bower,Bower,2024-12-01
Studio,e6,4,532,1,1,No,2988,5.616541353383458,0,0,0,2988,5.616541353383458,2988,5.616541353383458,bower,Bower,2024-12-01
Studio,e9,4,558,1,1,No,3378,6.053763440860215,0,0,0,3378,6.053763440860215,3378,6.053763440860215,bower,Bower,2024-12-01
Studio,e11,4,613,1,1,No,2988,4.874388254486134,0,0,0,2988,4.874388254486134,2988,4.874388254486134,bower,Bower,2024-12-01
1 Bedroom,B2,11,642,1,1,Yes,3431,5.344236760124611,0,0,0,3431,5.344236760124611,3431,5.344236760124611,bower,Bower,2024-12-01
1 Bedroom,f1,12,671,1,1,Yes,3483,5.1907600596125185,0,0,0,3483,5.1907600596125185,3483,5.1907600596125185,bower,Bower,2024-12-01
