key,value,property_id,property_name,leasing_week
Unit Levels,1,bower,Bower,2024-12-01
Private Bathrooms,Yes,bower,Bower,2024-12-01
Walk-in Closets,Yes,bower,Bower,2024-12-01
Washer / Dryer in Unit,No,bower,Bower,2024-12-01
Smart Home Technology,No,bower,Bower,2024-12-01
Smart Bedroom Locks,Yes,bower,Bower,2024-12-01
Smart Unit Locks,Yes,bower,Bower,2024-12-01
Energy Efficient Appliances,Yes,bower,Bower,2024-12-01
Stainless Steel Appliances,Yes,bower,Bower,2024-12-01
Balconies,No,bower,Bower,2024-12-01
Patios,No,bower,Bower,2024-12-01
Backyards,No,bower,Bower,2024-12-01
TV Included in Rent,NA,bower,Bower,2024-12-01
TV Renatable Rate,NA,bower,Bower,2024-12-01
TV Bedroom,0,bower,Bower,2024-12-01
TV Common Area,0,bower,Bower,2024-12-01
Common Area,0,bower,Bower,2024-12-01
Furniture Included in Rent,NA,bower,Bower,2024-12-01
Furniture Renatable Rate,NA,bower,Bower,2024-12-01
Rentable Rate (if not included),0,bower,Bower,2024-12-01
Floor Premium,NA,bower,Bower,2024-12-01
Poolside Premium,0,bower,Bower,2024-12-01
Top Floor Premium,0,bower,Bower,2024-12-01
View Premium,0,bower,Bower,2024-12-01
Other,0,bower,Bower,2024-12-01
