key,value,property_id,property_name,leasing_week
Reporting Cycle,Monday-Sunday,Boylston,1330 Boylston,2024-12-01
Lease Launch Date,n/a,Boylston,1330 Boylston,2024-12-01
Renewal Launch Date,n/a,Boylston,1330 Boylston,2024-12-01
Current Occupancy,0.95,Boylston,1330 Boylston,2024-12-01
Last Year Occupancy,0,Boylston,1330 Boylston,2024-12-01
Current Pre-Lease,0.96499999999999997,Boylston,1330 Boylston,2024-12-01
Last Year Pre-Lease,0,Boylston,1330 Boylston,2024-12-01
Total Renewals,0,Boylston,1330 Boylston,2024-12-01
Total New Leases,0,Boylston,1330 Boylston,2024-12-01
Total Leases: Weekly,0,Boylston,1330 Boylston,2024-12-01
Traffic: Weekly,6,Boylston,1330 Boylston,2024-12-01
Current Incentive,None,Boylston,1330 Boylston,2024-12-01
Incentive Amount,0,Boylston,1330 Boylston,2024-12-01
Data Last Updated,45334,Boylston,1330 Boylston,2024-12-01
