key,value,property_id,property_name,leasing_week
University Shuttle,No,Boylston,1330 Boylston,2024-12-01
Private Shuttle,No,Boylston,1330 Boylston,2024-12-01
Limited Access Gates,Yes,Boylston,1330 Boylston,2024-12-01
Fitness Center,Yes,Boylston,1330 Boylston,2024-12-01
Computer Lounge,No,Boylston,1330 Boylston,2024-12-01
Game Room,No,Boylston,1330 Boylston,2024-12-01
Spray Tanning,No,Boylston,1330 Boylston,2024-12-01
UV Tanning,No,Boylston,1330 Boylston,2024-12-01
Pool,Yes,Boylston,1330 Boylston,2024-12-01
Hot Tub,No,Boylston,1330 Boylston,2024-12-01
24hr Package System,Yes,Boylston,1330 Boylston,2024-12-01
EV Charging Stations,Yes,Boylston,1330 Boylston,2024-12-01
Car Sharing Services,Yes,Boylston,1330 Boylston,2024-12-01
Smart Vending,No,Boylston,1330 Boylston,2024-12-01
Mini Market,No,Boylston,1330 Boylston,2024-12-01
Movie Theatre,No,Boylston,1330 Boylston,2024-12-01
Co-Working/Study Spaces,No,Boylston,1330 Boylston,2024-12-01
Free Printing,No,Boylston,1330 Boylston,2024-12-01
Coffee Bar,No,Boylston,1330 Boylston,2024-12-01
Retail,No,Boylston,1330 Boylston,2024-12-01
Sauna/Spa,No,Boylston,1330 Boylston,2024-12-01
Cycling/Yoga Studio,No,Boylston,1330 Boylston,2024-12-01
Rentable Guest Suite,No,Boylston,1330 Boylston,2024-12-01
Wellness Classes,No,Boylston,1330 Boylston,2024-12-01
24hr Concierge,Yes,Boylston,1330 Boylston,2024-12-01
Outdoor Grill Area,No,Boylston,1330 Boylston,2024-12-01
Sand Volleyball Court,No,Boylston,1330 Boylston,2024-12-01
Basketball Court,No,Boylston,1330 Boylston,2024-12-01
Pets Allowed,Yes,Boylston,1330 Boylston,2024-12-01
Dog Wash,Yes,Boylston,1330 Boylston,2024-12-01
Dog Park,No,Boylston,1330 Boylston,2024-12-01
