key,value,property_id,property_name,leasing_week
Property,1330 Boylston,Boylston,1330 Boylston,2024-12-01
Website,NA,Boylston,1330 Boylston,2024-12-01
Address,"1330 Boylston St, Boston, MA 02215",Boylston,1330 Boylston,2024-12-01
Phone Number,(617) 267-1330,Boylston,1330 Boylston,2024-12-01
Developer,Samuels and Associates,Boylston,1330 Boylston,2024-12-01
Manager,Samuels and Associates,Boylston,1330 Boylston,2024-12-01
Owner,Samuels and Associates,Boylston,1330 Boylston,2024-12-01
Property Type,Conventional,Boylston,1330 Boylston,2024-12-01
Property Status,Operational,Boylston,1330 Boylston,2024-12-01
Product Type,High-Rise,Boylston,1330 Boylston,2024-12-01
Property Rating,5,Boylston,1330 Boylston,2024-12-01
Comp Status,Tier 2,Boylston,1330 Boylston,2024-12-01
Year Built / Renovated,2008,Boylston,1330 Boylston,2024-12-01
Most Recent Sale,n/a,Boylston,1330 Boylston,2024-12-01
Distance From Campus,1 mile,Boylston,1330 Boylston,2024-12-01
