floorplan_type,description,count,sf_per_bed,bed,bath,available,market_rent_per_bed,market_rent_per_sf,concessions_gift_card,concessions_one_time_rent,concessions_monthly_rent,effective_rent_per_bed,effective_rent_per_sf,bundled_rent_per_bed,bundled_rent_per_sf,property_id,property_name,leasing_week
1 Bedroom,1a,32,970,1,1,Yes,4126,4.25360824742268,0,0,0,4126,4.25360824742268,4126,4.25360824742268,Boylston,1330 Boylston,2024-12-01
1 Bedroom,1e,32,910,1,1,Yes,4181,4.594505494505494,0,0,0,4181,4.594505494505494,4181,4.594505494505494,Boylston,1330 Boylston,2024-12-01
1 Bedroom,1f,18,858,1,1,Yes,4353,5.073426573426573,0,0,0,4353,5.073426573426573,4353,5.073426573426573,Boylston,1330 Boylston,2024-12-01
1 Bedroom,1g,16,843,1,1,Yes,4126,4.894424673784104,0,0,0,4126,4.894424673784104,4126,4.894424673784104,Boylston,1330 Boylston,2024-12-01
1 Bedroom,1h,16,696,1,1,No,4136,5.942528735632184,0,0,0,4136,5.942528735632184,4136,5.942528735632184,Boylston,1330 Boylston,2024-12-01
1 Bedroom,1j,16,761,1,1,Yes,3897,5.120893561103811,0,0,0,3897,5.120893561103811,3897,5.120893561103811,Boylston,1330 Boylston,2024-12-01
1 Bedroom,1k,16,789,1,1,Yes,4181,5.2991128010139414,0,0,0,4181,5.2991128010139414,4181,5.2991128010139414,Boylston,1330 Boylston,2024-12-01
2 Bedroom,2b,18,1369,2,2,Yes,5365,3.918918918918919,0,0,0,5365,3.918918918918919,5365,3.918918918918919,Boylston,1330 Boylston,2024-12-01
2 Bedroom,2c,18,1374,2,2,Yes,6375,4.639737991266376,0,0,0,6375,4.639737991266376,6375,4.639737991266376,Boylston,1330 Boylston,2024-12-01
2 Bedroom,2d,18,1197,2,2,No,5910,4.93734335839599,0,0,0,5910,4.93734335839599,5910,4.93734335839599,Boylston,1330 Boylston,2024-12-01
