key,value,property_id,property_name,leasing_week
Unit Levels,1,Boylston,1330 Boylston,2024-12-01
Private Bathrooms,Yes,Boylston,1330 Boylston,2024-12-01
Walk-in Closets,Varies,Boylston,1330 Boylston,2024-12-01
Washer / Dryer in Unit,Yes,Boylston,1330 Boylston,2024-12-01
Smart Home Technology,No,Boylston,1330 Boylston,2024-12-01
Smart Bedroom Locks,Yes,Boylston,1330 Boylston,2024-12-01
Smart Unit Locks,Yes,Boylston,1330 Boylston,2024-12-01
Energy Efficient Appliances,Yes,Boylston,1330 Boylston,2024-12-01
Stainless Steel Appliances,Yes,Boylston,1330 Boylston,2024-12-01
Balconies,Varies,Boylston,1330 Boylston,2024-12-01
Patios,No,Boylston,1330 Boylston,2024-12-01
Backyards,No,Boylston,1330 Boylston,2024-12-01
TV Included in Rent,NA,Boylston,1330 Boylston,2024-12-01
TV Renatable Rate,NA,Boylston,1330 Boylston,2024-12-01
TV Bedroom,0,Boylston,1330 Boylston,2024-12-01
TV Common Area,0,Boylston,1330 Boylston,2024-12-01
Common Area,0,Boylston,1330 Boylston,2024-12-01
Furniture Included in Rent,NA,Boylston,1330 Boylston,2024-12-01
Furniture Renatable Rate,NA,Boylston,1330 Boylston,2024-12-01
Rentable Rate (if not included),0,Boylston,1330 Boylston,2024-12-01
Floor Premium,NA,Boylston,1330 Boylston,2024-12-01
Poolside Premium,0,Boylston,1330 Boylston,2024-12-01
Top Floor Premium,0,Boylston,1330 Boylston,2024-12-01
View Premium,0,Boylston,1330 Boylston,2024-12-01
Other,0,Boylston,1330 Boylston,2024-12-01
