key,value,property_id,property_name,leasing_week
University Shuttle,No,739085,1047 Commonwealth Avenue,2024-12-01
Private Shuttle,No,739085,1047 Commonwealth Avenue,2024-12-01
Limited Access Gates,No,739085,1047 Commonwealth Avenue,2024-12-01
Fitness Center,Yes,739085,1047 Commonwealth Avenue,2024-12-01
Computer Lounge,Yes,739085,1047 Commonwealth Avenue,2024-12-01
Game Room,Yes,739085,1047 Commonwealth Avenue,2024-12-01
Spray Tanning,No,739085,1047 Commonwealth Avenue,2024-12-01
UV Tanning,No,739085,1047 Commonwealth Avenue,2024-12-01
Pool,No,739085,1047 Commonwealth Avenue,2024-12-01
Hot Tub,No,739085,1047 Commonwealth Avenue,2024-12-01
24hr Package System,Yes,739085,1047 Commonwealth Avenue,2024-12-01
EV Charging Stations,No,739085,1047 Commonwealth Avenue,2024-12-01
Car Sharing Services,No,739085,1047 Commonwealth Avenue,2024-12-01
Smart Vending,Yes,739085,1047 Commonwealth Avenue,2024-12-01
Mini Market,No,739085,1047 Commonwealth Avenue,2024-12-01
Movie Theatre,No,739085,1047 Commonwealth Avenue,2024-12-01
Co-Working/Study Spaces,Yes,739085,1047 Commonwealth Avenue,2024-12-01
Free Printing,Yes,739085,1047 Commonwealth Avenue,2024-12-01
Coffee Bar,Yes,739085,1047 Commonwealth Avenue,2024-12-01
Retail,Yes,739085,1047 Commonwealth Avenue,2024-12-01
Sauna/Spa,No,739085,1047 Commonwealth Avenue,2024-12-01
Cycling/Yoga Studio,No,739085,1047 Commonwealth Avenue,2024-12-01
Rentable Guest Suite,No,739085,1047 Commonwealth Avenue,2024-12-01
Wellness Classes,No,739085,1047 Commonwealth Avenue,2024-12-01
24hr Concierge,No,739085,1047 Commonwealth Avenue,2024-12-01
Outdoor Grill Area,Yes,739085,1047 Commonwealth Avenue,2024-12-01
Sand Volleyball Court,No,739085,1047 Commonwealth Avenue,2024-12-01
Basketball Court,No,739085,1047 Commonwealth Avenue,2024-12-01
Pets Allowed,No,739085,1047 Commonwealth Avenue,2024-12-01
Dog Wash,No,739085,1047 Commonwealth Avenue,2024-12-01
Dog Park,No,739085,1047 Commonwealth Avenue,2024-12-01
