key,value,property_id,property_name,leasing_week
Property,1047 Commonwealth,739085,1047 Commonwealth Avenue,2024-12-01
Website,http://www.1047commonwealth.com/,739085,1047 Commonwealth Avenue,2024-12-01
Address,"1047 Commonwealth Ave, Boston, MA 02215",739085,1047 Commonwealth Avenue,2024-12-01
Phone Number,617-500-6481,739085,1047 Commonwealth Avenue,2024-12-01
Developer,BPDA,739085,1047 Commonwealth Avenue,2024-12-01
Manager,GMH Communities,739085,1047 Commonwealth Avenue,2024-12-01
Owner,AGC + GMH Communities,739085,1047 Commonwealth Avenue,2024-12-01
Property Type,Student,739085,1047 Commonwealth Avenue,2024-12-01
Property Status,Operational,739085,1047 Commonwealth Avenue,2024-12-01
Product Type,Mid-Rise,739085,1047 Commonwealth Avenue,2024-12-01
Property Rating,2,739085,1047 Commonwealth Avenue,2024-12-01
Comp Status,Subject Property,739085,1047 Commonwealth Avenue,2024-12-01
Year Built / Renovated,2017,739085,1047 Commonwealth Avenue,2024-12-01
Most Recent Sale,43466,739085,1047 Commonwealth Avenue,2024-12-01
Distance From Campus,0.1 Miles,739085,1047 Commonwealth Avenue,2024-12-01
