floorplan_type,description,count,sf_per_bed,bed,bath,available,market_rent_per_bed,market_rent_per_sf,concessions_gift_card,concessions_one_time_rent,concessions_monthly_rent,effective_rent_per_bed,effective_rent_per_sf,bundled_rent_per_bed,bundled_rent_per_sf,property_id,property_name,leasing_week
Studio,S1,25,308,1,1,Yes,2467,8.00974025974026,0,0,0,2467,8.00974025974026,2467,8.00974025974026,739085,1047 Commonwealth Avenue,2024-12-01
Studio,S2,12,318,1,1,Yes,2611,8.21069182389937,0,0,0,2611,8.21069182389937,2611,8.21069182389937,739085,1047 Commonwealth Avenue,2024-12-01
Studio,S3,51,342,1,1,Yes,2759,8.067251461988304,0,0,0,2759,8.067251461988304,2759,8.067251461988304,739085,1047 Commonwealth Avenue,2024-12-01
Studio,S4,8,323,1,1,Yes,2724,8.43343653250774,0,0,0,2724,8.43343653250774,2724,8.43343653250774,739085,1047 Commonwealth Avenue,2024-12-01
Studio,S5,10,346,1,1,Yes,2775,8.020231213872833,0,0,0,2775,8.020231213872833,2775,8.020231213872833,739085,1047 Commonwealth Avenue,2024-12-01
Studio,S6,29,361,1,1,Yes,2791,7.731301939058172,0,0,0,2791,7.731301939058172,2791,7.731301939058172,739085,1047 Commonwealth Avenue,2024-12-01
Studio,S7,4,442,1,1,Yes,2991,6.766968325791855,0,0,0,2991,6.766968325791855,2991,6.766968325791855,739085,1047 Commonwealth Avenue,2024-12-01
Studio,S8,11,349,1,1,Yes,3277,9.38968481375358,0,0,0,3277,9.38968481375358,3277,9.38968481375358,739085,1047 Commonwealth Avenue,2024-12-01
Studio,S9,5,403,1,1,Yes,3488,8.655086848635236,0,0,0,3488,8.655086848635236,3488,8.655086848635236,739085,1047 Commonwealth Avenue,2024-12-01
Studio,S10,4,528,1,1,Yes,3745,7.09280303030303,0,0,0,3745,7.09280303030303,3745,7.09280303030303,739085,1047 Commonwealth Avenue,2024-12-01
Studio,S11 - Affordable,24,349,1,1,No,1082,3.1002865329512894,0,0,0,1082,3.1002865329512894,1082,3.1002865329512894,739085,1047 Commonwealth Avenue,2024-12-01
