key,value,property_id,property_name,leasing_week
Unit Levels,NA,739085,1047 Commonwealth Avenue,2024-12-01
Private Bathrooms,Yes,739085,1047 Commonwealth Avenue,2024-12-01
Walk-in Closets,No,739085,1047 Commonwealth Avenue,2024-12-01
Washer / Dryer in Unit,Yes,739085,1047 Commonwealth Avenue,2024-12-01
Smart Home Technology,No,739085,1047 Commonwealth Avenue,2024-12-01
Smart Bedroom Locks,No,739085,1047 Commonwealth Avenue,2024-12-01
Smart Unit Locks,Yes,739085,1047 Commonwealth Avenue,2024-12-01
Energy Efficient Appliances,Yes,739085,1047 Commonwealth Avenue,2024-12-01
Stainless Steel Appliances,Yes,739085,1047 Commonwealth Avenue,2024-12-01
Balconies,No,739085,1047 Commonwealth Avenue,2024-12-01
Patios,No,739085,1047 Commonwealth Avenue,2024-12-01
Backyards,No,739085,1047 Commonwealth Avenue,2024-12-01
TV Included in Rent,NA,739085,1047 Commonwealth Avenue,2024-12-01
TV Renatable Rate,No,739085,1047 Commonwealth Avenue,2024-12-01
TV Bedroom,0,739085,1047 Commonwealth Avenue,2024-12-01
TV Common Area,0,739085,1047 Commonwealth Avenue,2024-12-01
Common Area,0,739085,1047 Commonwealth Avenue,2024-12-01
Furniture Included in Rent,NA,739085,1047 Commonwealth Avenue,2024-12-01
Furniture Renatable Rate,Yes,739085,1047 Commonwealth Avenue,2024-12-01
Rentable Rate (if not included),0,739085,1047 Commonwealth Avenue,2024-12-01
Floor Premium,NA,739085,1047 Commonwealth Avenue,2024-12-01
Poolside Premium,0,739085,1047 Commonwealth Avenue,2024-12-01
Top Floor Premium,0,739085,1047 Commonwealth Avenue,2024-12-01
View Premium,0,739085,1047 Commonwealth Avenue,2024-12-01
Other,0,739085,1047 Commonwealth Avenue,2024-12-01
