property_id,property_name,leasing_week_start,floorplan_type,floorplan_description,total_beds,sf_per_bed,number_of_beds,number_of_baths,available,market_rent_per_bed,market_rent_per_sf,concessions_gift_card,concessions_one_time_rent,concessions_monthly_rent,effective_rent_per_bed,effective_rent_per_sf,additional_monthly_expenses_furniture,additional_monthly_expenses_tv,additional_monthly_expenses_electricity_gas,additional_monthly_expenses_water,additional_monthly_expenses_cable_internet,additional_monthly_expenses_trash,additional_monthly_expenses_parking,additional_monthly_expenses_total,bundled_rent_per_bed,bundled_rent_per_sf
739085,1047 Commonwealth Avenue,2024-12-01,Studio,S1,25,308,1,1,TRUE,2467,8.00974025974026,0,0,0,2467,8.00974025974026,0,0,0,0,0,0,0,0,2467,8.00974025974026
739085,1047 Commonwealth Avenue,2024-12-01,Studio,S2,12,318,1,1,TRUE,2611,8.21069182389937,0,0,0,2611,8.21069182389937,0,0,0,0,0,0,0,0,2611,8.21069182389937
739085,1047 Commonwealth Avenue,2024-12-01,Studio,S3,51,342,1,1,TRUE,2759,8.067251461988304,0,0,0,2759,8.067251461988304,0,0,0,0,0,0,0,0,2759,8.067251461988304
739085,1047 Commonwealth Avenue,2024-12-01,Studio,S4,8,323,1,1,TRUE,2724,8.43343653250774,0,0,0,2724,8.43343653250774,0,0,0,0,0,0,0,0,2724,8.43343653250774
739085,1047 Commonwealth Avenue,2024-12-01,Studio,S5,10,346,1,1,TRUE,2775,8.020231213872833,0,0,0,2775,8.020231213872833,0,0,0,0,0,0,0,0,2775,8.020231213872833
739085,1047 Commonwealth Avenue,2024-12-01,Studio,S6,29,361,1,1,TRUE,2791,7.731301939058172,0,0,0,2791,7.731301939058172,0,0,0,0,0,0,0,0,2791,7.731301939058172
739085,1047 Commonwealth Avenue,2024-12-01,Studio,S7,4,442,1,1,TRUE,2991,6.766968325791855,0,0,0,2991,6.766968325791855,0,0,0,0,0,0,0,0,2991,6.766968325791855
739085,1047 Commonwealth Avenue,2024-12-01,Studio,S8,11,349,1,1,TRUE,3277,9.38968481375358,0,0,0,3277,9.38968481375358,0,0,0,0,0,0,0,0,3277,9.38968481375358
739085,1047 Commonwealth Avenue,2024-12-01,Studio,S9,5,403,1,1,TRUE,3488,8.655086848635236,0,0,0,3488,8.655086848635236,0,0,0,0,0,0,0,0,3488,8.655086848635236
739085,1047 Commonwealth Avenue,2024-12-01,Studio,S10,4,528,1,1,TRUE,3745,7.09280303030303,0,0,0,3745,7.09280303030303,0,0,0,0,0,0,0,0,3745,7.09280303030303
739085,1047 Commonwealth Avenue,2024-12-01,Studio,S11 - Affordable,24,349,1,1,FALSE,1082,3.1002865329512894,0,0,0,1082,3.1002865329512894,0,0,0,0,0,0,0,0,1082,3.1002865329512894
boylston,1330 Boylston,2024-12-01,1 Bedroom,1a,32,970,1,1,TRUE,4126,4.25360824742268,0,0,0,4126,4.25360824742268,0,0,0,0,0,0,0,0,4126,4.25360824742268
boylston,1330 Boylston,2024-12-01,1 Bedroom,1e,32,910,1,1,TRUE,4181,4.594505494505494,0,0,0,4181,4.594505494505494,0,0,0,0,0,0,0,0,4181,4.594505494505494
boylston,1330 Boylston,2024-12-01,1 Bedroom,1f,18,858,1,1,TRUE,4353,5.073426573426573,0,0,0,4353,5.073426573426573,0,0,0,0,0,0,0,0,4353,5.073426573426573
boylston,1330 Boylston,2024-12-01,1 Bedroom,1g,16,843,1,1,TRUE,4126,4.894424673784104,0,0,0,4126,4.894424673784104,0,0,0,0,0,0,0,0,4126,4.894424673784104
boylston,1330 Boylston,2024-12-01,1 Bedroom,1h,16,696,1,1,FALSE,4136,5.942528735632184,0,0,0,4136,5.942528735632184,0,0,0,0,0,0,0,0,4136,5.942528735632184
boylston,1330 Boylston,2024-12-01,1 Bedroom,1j,16,761,1,1,TRUE,3897,5.120893561103811,0,0,0,3897,5.120893561103811,0,0,0,0,0,0,0,0,3897,5.120893561103811
boylston,1330 Boylston,2024-12-01,1 Bedroom,1k,16,789,1,1,TRUE,4181,5.2991128010139414,0,0,0,4181,5.2991128010139414,0,0,0,0,0,0,0,0,4181,5.2991128010139414
