key,value,property_id,property_name,leasing_week
Reporting Cycle,Monday-Sunday,vanness,Van Ness,2024-12-01
Lease Launch Date,n/a,vanness,Van Ness,2024-12-01
Renewal Launch Date,n/a,vanness,Van Ness,2024-12-01
Current Occupancy,0.93600000000000005,vanness,Van Ness,2024-12-01
Last Year Occupancy,0,vanness,Van Ness,2024-12-01
Current Pre-Lease,0.92400000000000004,vanness,Van Ness,2024-12-01
Last Year Pre-Lease,0,vanness,Van Ness,2024-12-01
Total Renewals,0,vanness,Van Ness,2024-12-01
Total New Leases,0,vanness,Van Ness,2024-12-01
Total Leases: Weekly,0,vanness,Van Ness,2024-12-01
Traffic: Weekly,5,vanness,Van Ness,2024-12-01
Current Incentive,None,vanness,Van Ness,2024-12-01
Incentive Amount,0,vanness,Van Ness,2024-12-01
Data Last Updated,45344,vanness,Van Ness,2024-12-01
