key,value,property_id,property_name,leasing_week
University Shuttle,No,vanness,Van Ness,2024-12-01
Private Shuttle,No,vanness,Van Ness,2024-12-01
Limited Access Gates,Yes,vanness,Van Ness,2024-12-01
Fitness Center,Yes,vanness,Van Ness,2024-12-01
Computer Lounge,No,vanness,Van Ness,2024-12-01
Game Room,Yes,vanness,Van Ness,2024-12-01
Spray Tanning,No,vanness,Van Ness,2024-12-01
UV Tanning,No,vanness,Van Ness,2024-12-01
Pool,No,vanness,Van Ness,2024-12-01
Hot Tub,No,vanness,Van Ness,2024-12-01
24hr Package System,Yes,vanness,Van Ness,2024-12-01
EV Charging Stations,No,vanness,Van Ness,2024-12-01
Car Sharing Services,No,vanness,Van Ness,2024-12-01
Smart Vending,No,vanness,Van Ness,2024-12-01
Mini Market,No,vanness,Van Ness,2024-12-01
Movie Theatre,No,vanness,Van Ness,2024-12-01
Co-Working/Study Spaces,No,vanness,Van Ness,2024-12-01
Free Printing,No,vanness,Van Ness,2024-12-01
Coffee Bar,No,vanness,Van Ness,2024-12-01
Retail,Yes,vanness,Van Ness,2024-12-01
Sauna/Spa,No,vanness,Van Ness,2024-12-01
Cycling/Yoga Studio,No,vanness,Van Ness,2024-12-01
Rentable Guest Suite,No,vanness,Van Ness,2024-12-01
Wellness Classes,No,vanness,Van Ness,2024-12-01
24hr Concierge,No,vanness,Van Ness,2024-12-01
Outdoor Grill Area,No,vanness,Van Ness,2024-12-01
Sand Volleyball Court,No,vanness,Van Ness,2024-12-01
Basketball Court,No,vanness,Van Ness,2024-12-01
Pets Allowed,Yes,vanness,Van Ness,2024-12-01
Dog Wash,Yes,vanness,Van Ness,2024-12-01
Dog Park,No,vanness,Van Ness,2024-12-01
