key,value,property_id,property_name,leasing_week
Property,Van Ness,vanness,Van Ness,2024-12-01
Website,NA,vanness,Van Ness,2024-12-01
Address,"1335 Boylston St, Boston, MA, 02215",vanness,Van Ness,2024-12-01
Phone Number,617-424-1335,vanness,Van Ness,2024-12-01
Developer,Samuels And Associates,vanness,Van Ness,2024-12-01
Manager,Samuels And Associates,vanness,Van Ness,2024-12-01
Owner,Samuels And Associates,vanness,Van Ness,2024-12-01
Property Type,Conventional,vanness,Van Ness,2024-12-01
Property Status,Operational,vanness,Van Ness,2024-12-01
Product Type,High-Rise,vanness,Van Ness,2024-12-01
Property Rating,4,vanness,Van Ness,2024-12-01
Comp Status,Tier 2,vanness,Van Ness,2024-12-01
Year Built / Renovated,2015,vanness,Van Ness,2024-12-01
Most Recent Sale,n/a,vanness,Van Ness,2024-12-01
Distance From Campus,1 Miles,vanness,Van Ness,2024-12-01
