floorplan_type,description,count,sf_per_bed,bed,bath,available,market_rent_per_bed,market_rent_per_sf,concessions_gift_card,concessions_one_time_rent,concessions_monthly_rent,effective_rent_per_bed,effective_rent_per_sf,bundled_rent_per_bed,bundled_rent_per_sf,property_id,property_name,leasing_week
Studio,S2,6,585,1,1,No,3803,6.500854700854701,0,0,0,3803,6.500854700854701,3803,6.500854700854701,vanness,Van Ness,2024-12-01
Studio,S3a,6,488,1,1,Yes,3753,7.690573770491803,0,0,0,3753,7.690573770491803,3753,7.690573770491803,vanness,Van Ness,2024-12-01
Studio,S3b,5,535,1,1,No,3813,7.1271028037383175,0,0,0,3813,7.1271028037383175,3813,7.1271028037383175,vanness,Van Ness,2024-12-01
1 Bedroom,A1a,12,695,1,1,No,3955,5.690647482014389,0,0,0,3955,5.690647482014389,3955,5.690647482014389,vanness,Van Ness,2024-12-01
1 Bedroom,A1b,12,703,1,1,No,4014,5.709815078236131,0,0,0,4014,5.709815078236131,4014,5.709815078236131,vanness,Van Ness,2024-12-01
1 Bedroom,A1c,12,734,1,1,Yes,4075,5.551771117166212,0,0,0,4075,5.551771117166212,4075,5.551771117166212,vanness,Van Ness,2024-12-01
1 Bedroom,A1g,12,785,1,1,No,4205,5.356687898089172,0,0,0,4205,5.356687898089172,4205,5.356687898089172,vanness,Van Ness,2024-12-01
1 Bedroom,A2b,14,725,1,1,Yes,4305,5.937931034482759,0,0,0,4305,5.937931034482759,4305,5.937931034482759,vanness,Van Ness,2024-12-01
1 Bedroom,A3,14,710,1,1,No,4235,5.964788732394366,0,0,0,4235,5.964788732394366,4235,5.964788732394366,vanness,Van Ness,2024-12-01
2 Bedroom,B1a,38,1000,2,2,Yes,6302,6.302,0,0,0,6302,6.302,6302,6.302,vanness,Van Ness,2024-12-01
2 Bedroom,B2a,18,1192,2,2,Yes,6597,5.534395973154362,0,0,0,6597,5.534395973154362,6597,5.534395973154362,vanness,Van Ness,2024-12-01
