key,value,property_id,property_name,leasing_week
Unit Levels,1,vanness,Van Ness,2024-12-01
Private Bathrooms,Yes,vanness,Van Ness,2024-12-01
Walk-in Closets,Varies,vanness,Van Ness,2024-12-01
Washer / Dryer in Unit,Yes,vanness,Van Ness,2024-12-01
Smart Home Technology,No,vanness,Van Ness,2024-12-01
Smart Bedroom Locks,No,vanness,Van Ness,2024-12-01
Smart Unit Locks,Yes,vanness,Van Ness,2024-12-01
Energy Efficient Appliances,Varies,vanness,Van Ness,2024-12-01
Stainless Steel Appliances,Yes,vanness,Van Ness,2024-12-01
Balconies,No,vanness,Van Ness,2024-12-01
Patios,Varies,vanness,Van Ness,2024-12-01
Backyards,No,vanness,Van Ness,2024-12-01
TV Included in Rent,NA,vanness,Van Ness,2024-12-01
TV Renatable Rate,NA,vanness,Van Ness,2024-12-01
TV Bedroom,0,vanness,Van Ness,2024-12-01
TV Common Area,0,vanness,Van Ness,2024-12-01
Common Area,0,vanness,Van Ness,2024-12-01
Furniture Included in Rent,NA,vanness,Van Ness,2024-12-01
Furniture Renatable Rate,NA,vanness,Van Ness,2024-12-01
Rentable Rate (if not included),0,vanness,Van Ness,2024-12-01
Floor Premium,NA,vanness,Van Ness,2024-12-01
Poolside Premium,0,vanness,Van Ness,2024-12-01
Top Floor Premium,0,vanness,Van Ness,2024-12-01
View Premium,0,vanness,Van Ness,2024-12-01
Other,0,vanness,Van Ness,2024-12-01
