Refresh key: Property,Building,Refresh key: Unit,Excluded Reason
Academy 65,,204-A,Model Unit
Academy 65,,204-B,Model Unit
Academy 65,,204-C,Model Unit
Academy 65,,204-D,Model Unit
Everly on The Loop,,416-A,Model Unit
Everly on The Loop,,416-B,Model Unit
Shortbread Lofts,,315-B,Model Unit
Shortbread Lofts,,315-A1,Model Unit
Shortbread Lofts,,315-A2,Model Unit
SOVA,Building 100,1102-A,Model Unit
SOVA,Building 100,1102-B,Model Unit
SOVA,Building 100,1102-C,Model Unit
SOVA,Building 100,1102-D,Model Unit
The Academy at Frisco,2,107,Model Unit
The Academy Chorro,,201-B,Model Unit
The Academy Chorro,,201-C,Model Unit
The Academy Chorro,,201-D,Model Unit
The Academy on Charles,,403-A,Model Unit
The Academy on Charles,,403-B,Model Unit
The Academy on Charles,,403-C,Model Unit
The Academy on Charles,,403-D,Model Unit
