Property Name,Property Type,Leasing Portfolio,Property Address,Floorplans,Units,Total Beds,"# of Model Bed Leases, Current Term",New Leases Signed,Renewals Signed,Total Leases Signed,Pre-Lease %,Weekly Leases Needed to Achieve 90% at Week 52,Weekly Leases Needed to Achieve 95% at Week 52,Weekly Leases Needed to Achieve 100% at Week 52,Create PDF WPO,Create Excel WPO
1047 Commonwealth Avenue,Active Property,Student Housing Portfolio,"1047 Commonwealth Avenue, Boston, Massachusetts 02215",12,183,183,0,84,76,160,87.431693989071%,,,,https://www.aws-juiced-client2.com/Juiced/XLDocs5/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=1047 Commonwealth Avenue - WPO - 12-16-2024&dbid=bq5hz7i53&msid=2&faid=117&xlddte=118&docfmt=pdf&stream=y&apptoken=,https://www.aws-juiced-client2.com/Juiced/XLDocs3/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=XL Document&dbid=bq5hz7i53&msid=2&faid=434&xlddte=435&docfmt=xlsx&stream=y&apptoken=
Academy 65,Active Property,Student Housing Portfolio,"1325 65th Street, Sacramento, California 95819",14,79,309,4,121,144,265,85.760517799353%,,,,https://www.aws-juiced-client2.com/Juiced/XLDocs5/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=Academy 65 - WPO - 12-16-2024&dbid=bq5hz7i53&msid=6&faid=117&xlddte=118&docfmt=pdf&stream=y&apptoken=,https://www.aws-juiced-client2.com/Juiced/XLDocs3/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=XL Document&dbid=bq5hz7i53&msid=6&faid=434&xlddte=435&docfmt=xlsx&stream=y&apptoken=
Academy Lincoln,Active Property,Student Housing Portfolio,"1850 P Street, Lincoln, Nebraska 68508",9,151,632,4,402,249,651,103.00632911392%,,,,https://www.aws-juiced-client2.com/Juiced/XLDocs5/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=Academy Lincoln - WPO - 12-16-2024&dbid=bq5hz7i53&msid=7&faid=117&xlddte=118&docfmt=pdf&stream=y&apptoken=,https://www.aws-juiced-client2.com/Juiced/XLDocs3/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=XL Document&dbid=bq5hz7i53&msid=7&faid=434&xlddte=435&docfmt=xlsx&stream=y&apptoken=
ANOVA uCity Square,Active Property,Innovative Living Portfolio,,13,0,461,2,273,159,432,93.709327548807%,,,,https://www.aws-juiced-client2.com/Juiced/XLDocs5/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=ANOVA uCity Square - WPO - 12-16-2024&dbid=bq5hz7i53&msid=20&faid=117&xlddte=118&docfmt=pdf&stream=y&apptoken=,https://www.aws-juiced-client2.com/Juiced/XLDocs3/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=XL Document&dbid=bq5hz7i53&msid=20&faid=434&xlddte=435&docfmt=xlsx&stream=y&apptoken=
Campustown 1008 S. 4th,Active Property,Student Housing Portfolio,"1008 South Fourth Street, Champaign, Illinois 61820",15,66,158,0,108,56,164,103.79746835443%,,,,https://www.aws-juiced-client2.com/Juiced/XLDocs5/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=Campustown 1008 S. 4th - WPO - 12-16-2024&dbid=bq5hz7i53&msid=1&faid=117&xlddte=118&docfmt=pdf&stream=y&apptoken=,https://www.aws-juiced-client2.com/Juiced/XLDocs3/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=XL Document&dbid=bq5hz7i53&msid=1&faid=434&xlddte=435&docfmt=xlsx&stream=y&apptoken=
Campustown 307 E. Daniel,Active Property,Student Housing Portfolio,"307 East Daniel Street, Champaign, Illinois 61820",2,10,40,0,23,16,39,97.5%,,,,https://www.aws-juiced-client2.com/Juiced/XLDocs5/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=Campustown 307 E. Daniel - WPO - 12-16-2024&dbid=bq5hz7i53&msid=3&faid=117&xlddte=118&docfmt=pdf&stream=y&apptoken=,https://www.aws-juiced-client2.com/Juiced/XLDocs3/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=XL Document&dbid=bq5hz7i53&msid=3&faid=434&xlddte=435&docfmt=xlsx&stream=y&apptoken=
Campustown 501 S. 6th,Active Property,Student Housing Portfolio,"501 South Sixth Street, Champaign, Illinois 61820",10,27,104,0,51,57,108,103.84615384615%,,,,https://www.aws-juiced-client2.com/Juiced/XLDocs5/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=Campustown 501 S. 6th - WPO - 12-16-2024&dbid=bq5hz7i53&msid=4&faid=117&xlddte=118&docfmt=pdf&stream=y&apptoken=,https://www.aws-juiced-client2.com/Juiced/XLDocs3/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=XL Document&dbid=bq5hz7i53&msid=4&faid=434&xlddte=435&docfmt=xlsx&stream=y&apptoken=
Campustown 908 S. 1st,Active Property,Student Housing Portfolio,"908 South First Street, Champaign, Illinois 61820",11,36,96,0,65,34,99,103.125%,,,,https://www.aws-juiced-client2.com/Juiced/XLDocs5/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=Campustown 908 S. 1st - WPO - 12-16-2024&dbid=bq5hz7i53&msid=5&faid=117&xlddte=118&docfmt=pdf&stream=y&apptoken=,https://www.aws-juiced-client2.com/Juiced/XLDocs3/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=XL Document&dbid=bq5hz7i53&msid=5&faid=434&xlddte=435&docfmt=xlsx&stream=y&apptoken=
Life Tower,Active Property,Student Housing Portfolio,"6919 Main Street, Houston, Texas 77030",13,0,0,0,0,0,0,,,,,https://www.aws-juiced-client2.com/Juiced/XLDocs5/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=Life Tower - WPO - 12-16-2024&dbid=bq5hz7i53&msid=22&faid=117&xlddte=118&docfmt=pdf&stream=y&apptoken=,https://www.aws-juiced-client2.com/Juiced/XLDocs3/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=XL Document&dbid=bq5hz7i53&msid=22&faid=434&xlddte=435&docfmt=xlsx&stream=y&apptoken=
Shortbread Lofts,Active Property,Student Housing Portfolio,"333 West Rosemary Street, Chapel Hill, North Carolina 27516",38,84,374,3,344,29,373,99.732620320856%,,,,https://www.aws-juiced-client2.com/Juiced/XLDocs5/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=Shortbread Lofts - WPO - 12-16-2024&dbid=bq5hz7i53&msid=10&faid=117&xlddte=118&docfmt=pdf&stream=y&apptoken=,https://www.aws-juiced-client2.com/Juiced/XLDocs3/ExcelGen_UA.aspx?clientid=Q2258&appid=bq5hz7i5b&tpdbid=bq5hz7i9i&tpid=5&fn=XL Document&dbid=bq5hz7i53&msid=10&faid=434&xlddte=435&docfmt=xlsx&stream=y&apptoken=
