property_id,property_name,property,property_subtotal,avg_sqft,avg_advertised_rate,units,excluded_unit_count,rentable_unit_count,avg_scheduled_rent,occupied_count,started_new_count_prior,started_new_count,started_renewal_count_prior,started_renewal_count,started_count_prior,started_count,started_percent,partially_completed_new_count_prior,partially_completed_new_count,partially_completed_renewal_count_prior,partially_completed_renewal_count,partially_completed_count_prior,partially_completed_count,partially_completed_percent,completed_new_count_prior,completed_new_count,completed_renewal_count_prior,completed_renewal_count,completed_count_prior,completed_count,completed_percent,approved_new_count_prior,approved_new_count,approved_renewal_count_prior,approved_renewal_count,approved_count_prior,approved_count,approved_percent,preleased_new_count_prior,preleased_new_count,preleased_renewal_count_prior,preleased_renewal_count,preleased_count_prior,preleased_count,preleased_percent_prior,preleased_percent,variance,available_count,scheduled_rent_total
739076,1008 S. 4th,1008 S. 4th,1008 S. 4th,321.0759493670886,973.3653846153846,158,0,158,1003.974358974359,155,0,0,0,0,0,0,0,27,6,1,0,28,6,0.0379746835443038,2,0,0,0,2,0,0,67,96,48,54,115,150,0.9493670886075949,96,102,49,54,145,156,0.9177215189873418,0.9873417721518988,0.069620253164557,2,156620
739085,1047 Commonwealth Avenue,1047 Commonwealth Avenue,1047 Commonwealth Avenue,347.5245901639344,2566.222222222222,183,0,183,2477.814814814815,163,0,0,1,3,1,3,0.01639344262295082,0,0,0,0,0,0,0,2,1,0,0,2,1,0.00546448087431694,4,3,38,20,42,23,0.12568306010928962,6,4,39,23,45,27,0.2459016393442623,0.14754098360655737,-0.09836065573770492,156,66901
739079,307 E. Daniel,307 E. Daniel,307 E. Daniel,385,988.1944444444445,40,0,40,1034.1666666666667,40,1,0,0,1,1,1,0.025,6,1,0,0,6,1,0.025,0,0,0,0,0,0,0,15,25,15,9,30,34,0.85,22,26,15,10,37,36,0.925,0.9,-0.025000000000000022,4,37230
739080,501 S. 6th,501 S. 6th,501 S. 6th,448.75961538461536,871.3131313131313,104,0,104,880.7575757575758,104,0,0,0,0,0,0,0,11,5,3,0,14,5,0.04807692307692308,1,0,0,0,1,0,0,30,77,48,17,78,94,0.9038461538461539,42,82,51,17,93,99,0.8942307692307693,0.9519230769230769,0.0576923076923076,5,87195
739084,908 S. 1st,908 S. 1st,908 S. 1st,365.6979166666667,1064.1780821917807,96,0,96,1140.958904109589,94,0,1,0,0,0,1,0.010416666666666666,7,1,1,1,8,2,0.020833333333333332,2,0,0,0,2,0,0,31,52,32,18,63,70,0.7291666666666666,40,54,33,19,73,73,0.7604166666666666,0.7604166666666666,0,23,83290
641240,Academy 65,Academy 65,Academy 65,274.62459546925567,1027.8735632183907,309,0,309,987.0689655172414,304,0,1,0,4,0,5,0.016181229773462782,0,0,1,0,1,0,0,6,0,0,0,6,0,0,69,4,35,78,104,82,0.26537216828478966,75,5,36,82,111,87,0.3592233009708738,0.2815533980582524,-0.07766990291262138,222,85875
676055,Academy Lincoln,Academy Lincoln,Academy Lincoln,322.4810126582278,695.9282700421941,632,0,632,745.7383966244726,624,9,13,1,7,10,20,0.03164556962025317,11,5,0,0,11,5,0.007911392405063292,6,2,0,0,6,2,0.0031645569620253164,60,72,115,138,175,210,0.3322784810126582,86,92,116,145,202,237,0.31962025316455694,0.375,0.055379746835443056,395,176740
1115679,ANOVA uCity Square,ANOVA uCity Square,ANOVA uCity Square,555.0672451193059,37.557377049180324,461,0,461,2259.2950819672133,441,0,0,3,0,3,0,0,0,0,0,0,0,0,0,21,0,0,0,21,0,0,37,41,13,20,50,61,0.13232104121475055,58,41,16,20,74,61,0.16052060737527116,0.13232104121475055,-0.028199566160520606,400,137817
1161867,Courts at Spring Mill Station,Courts at Spring Mill Station,Courts at Spring Mill Station,955.4300518134716,219.94000000000003,386,0,386,2373.535,354,0,2,2,2,2,4,0.010362694300518135,1,1,0,1,1,2,0.0051813471502590676,4,6,0,3,4,9,0.023316062176165803,40,31,45,64,85,95,0.24611398963730569,45,40,47,70,92,110,0.23834196891191708,0.2849740932642487,0.04663212435233163,276,261088.85
518044,Shortbread Lofts,Shortbread Lofts,Shortbread Lofts,296.29411764705884,1398.5792349726776,374,0,374,1228.9754098360656,374,4,22,0,0,4,22,0.058823529411764705,50,29,0,2,50,31,0.08288770053475936,110,17,1,0,111,17,0.045454545454545456,160,273,20,23,180,296,0.7914438502673797,324,341,21,25,345,366,0.9224598930481284,0.9786096256684492,0.05614973262032086,8,449805
952515,SOVA,SOVA,SOVA,394.1078431372549,1072.9344262295083,816,0,816,1075.8032786885246,806,7,2,1,2,8,4,0.004901960784313725,5,2,0,1,5,3,0.003676470588235294,10,6,2,1,12,7,0.00857843137254902,60,22,175,269,235,291,0.35661764705882354,82,32,178,273,260,305,0.31862745098039214,0.3737745098039216,0.05514705882352944,511,328120
577897,Station Nine,Station Nine,Station Nine,965.0433436532508,689.912380952381,323,0,323,1958.7857142857142,306,0,0,0,1,0,1,0.0030959752321981426,0,0,0,0,0,0,0,3,0,0,0,3,0,0,35,35,5,6,40,41,0.12693498452012383,38,35,5,7,43,42,0.13312693498452013,0.13003095975232198,-0.0030959752321981504,281,82269
518041,The Academy at Frisco,The Academy at Frisco,The Academy at Frisco,367.2203125,937.6388888888889,640,0,640,1013.7934027777778,635,0,13,0,2,0,15,0.0234375,28,24,0,0,28,24,0.0375,115,12,10,3,125,15,0.0234375,101,272,305,250,406,522,0.815625,244,321,315,255,559,576,0.8734375,0.9,0.026562500000000044,64,583945
518042,The Academy on Charles,The Academy on Charles,The Academy on Charles,315.0701219512195,1630.6643356643356,328,0,328,1646.7132867132866,327,0,1,3,0,3,1,0.003048780487804878,0,8,0,0,0,8,0.024390243902439025,0,38,51,12,51,50,0.1524390243902439,0,35,4,49,4,84,0.25609756097560976,0,82,58,61,58,143,0.17682926829268292,0.43597560975609756,0.25914634146341464,185,235480
1197886,The Caswell at Runnymeade,The Caswell at Runnymeade,The Caswell at Runnymeade,1270.5222672064776,2783.930693069307,249,2,247,3244.089108910891,208,2,1,0,1,2,2,0.008097165991902834,0,1,0,0,0,1,0.004048582995951417,7,1,0,1,7,2,0.008097165991902834,68,56,0,40,68,96,0.38866396761133604,77,59,0,42,77,101,0.3117408906882591,0.4089068825910931,0.09716599190283398,146,327653
833617,The Dean Campustown,The Dean Campustown,The Dean Campustown,178.5625,1483.4375,672,0,672,1270.9837962962963,656,6,2,0,16,6,18,0.026785714285714284,13,4,6,2,19,6,0.008928571428571428,8,3,0,0,8,3,0.004464285714285714,182,195,209,210,391,405,0.6026785714285714,209,204,215,228,424,432,0.6309523809523809,0.6428571428571429,0.011904761904761973,240,549065
1197887,The Dean Reno,The Dean Reno,The Dean Reno,305.6106080206986,1029.8449848024316,773,0,773,1010.6079027355623,635,16,29,12,43,28,72,0.09314359637774904,19,25,0,1,19,26,0.03363518758085381,20,41,0,9,20,50,0.0646830530401035,25,26,53,155,78,181,0.23415265200517466,80,121,65,208,145,329,0.18758085381630013,0.425614489003881,0.23803363518758086,444,332490
518046,The Rise at Northgate,The Rise at Northgate,The Rise at Northgate,376,1186.3844086021506,465,0,465,1233.1048387096773,465,2,5,0,0,2,5,0.010752688172043012,12,7,0,0,12,7,0.015053763440860216,4,3,0,0,4,3,0.0064516129032258064,101,129,255,228,356,357,0.7677419354838709,119,144,255,228,374,372,0.8043010752688172,0.8,-0.004301075268817178,93,458715
1143679,Torre,Torre,Torre,331.24014336917566,1403.4556213017752,558,0,558,1411.3343195266273,500,1,9,0,4,1,13,0.023297491039426525,18,9,6,0,24,9,0.016129032258064516,8,3,1,0,9,3,0.005376344086021506,192,148,101,165,293,313,0.5609318996415771,219,169,108,169,327,338,0.5860215053763441,0.6057347670250897,0.01971326164874554,220,477031
