report_name,report_description,filter_name,filter_required,filter_values,filter_is_array,filter_allow_future_periods,filter_is_dependent_filter,filter_dependencies
weekly_performance,"The Weekly Performance Report is a high level report that will show a count of new leads, the type of first contact, and if a manual contact has been attempted on each of these leads. The detail view will show each lead listed on a separate line with each of the performed events listed. Report excludes Other Income profiles.",property_group_ids,TRUE,,TRUE,NA,NA,
weekly_performance,"The Weekly Performance Report is a high level report that will show a count of new leads, the type of first contact, and if a manual contact has been attempted on each of these leads. The detail view will show each lead listed on a separate line with each of the performed events listed. Report excludes Other Income profiles.",period_type,FALSE,,TRUE,TRUE,NA,
weekly_performance,"The Weekly Performance Report is a high level report that will show a count of new leads, the type of first contact, and if a manual contact has been attempted on each of these leads. The detail view will show each lead listed on a separate line with each of the performed events listed. Report excludes Other Income profiles.",summary,FALSE,,FALSE,NA,NA,
add_ons,"This report will allow you to track and manage your add ons (rentable items, assignable items, and services) by reporting summary occupancy statuses and showing individual add-on item details. Currently, no required permissions are need to use this report.",property_group_ids,TRUE,,TRUE,NA,NA,
add_ons,"This report will allow you to track and manage your add ons (rentable items, assignable items, and services) by reporting summary occupancy statuses and showing individual add-on item details. Currently, no required permissions are need to use this report.",period_type,FALSE,,TRUE,TRUE,NA,
add_ons,"This report will allow you to track and manage your add ons (rentable items, assignable items, and services) by reporting summary occupancy statuses and showing individual add-on item details. Currently, no required permissions are need to use this report.",add_ons,FALSE,,TRUE,NA,1,
add_ons,"This report will allow you to track and manage your add ons (rentable items, assignable items, and services) by reporting summary occupancy statuses and showing individual add-on item details. Currently, no required permissions are need to use this report.",summarize,FALSE,,FALSE,NA,NA,
add_ons,"This report will allow you to track and manage your add ons (rentable items, assignable items, and services) by reporting summary occupancy statuses and showing individual add-on item details. Currently, no required permissions are need to use this report.",reservation_service_statuses,TRUE,,TRUE,NA,NA,
add_ons,"This report will allow you to track and manage your add ons (rentable items, assignable items, and services) by reporting summary occupancy statuses and showing individual add-on item details. Currently, no required permissions are need to use this report.",past_residents_with_active_items,FALSE,,FALSE,NA,NA,
add_ons,"This report will allow you to track and manage your add ons (rentable items, assignable items, and services) by reporting summary occupancy statuses and showing individual add-on item details. Currently, no required permissions are need to use this report.",consolidate_by,FALSE,,FALSE,NA,NA,
add_ons,"This report will allow you to track and manage your add ons (rentable items, assignable items, and services) by reporting summary occupancy statuses and showing individual add-on item details. Currently, no required permissions are need to use this report.",arrange_by_property,FALSE,,FALSE,NA,NA,
add_ons,"This report will allow you to track and manage your add ons (rentable items, assignable items, and services) by reporting summary occupancy statuses and showing individual add-on item details. Currently, no required permissions are need to use this report.",subtotals,FALSE,,FALSE,NA,NA,
income_statement_-_budget_vs_actual,"The Income Statement Budget v. Actual, is a financial statement that shows a company's revenue and expenses over a specified period of time. This report will provide a comparison of actual revenues and expenses to what's been budgeted for the period, and provide a variance.",property_group_ids,TRUE,,TRUE,NA,NA,
income_statement_-_budget_vs_actual,"The Income Statement Budget v. Actual, is a financial statement that shows a company's revenue and expenses over a specified period of time. This report will provide a comparison of actual revenues and expenses to what's been budgeted for the period, and provide a variance.",gl_tree_ids,FALSE,,FALSE,NA,NA,
income_statement_-_budget_vs_actual,"The Income Statement Budget v. Actual, is a financial statement that shows a company's revenue and expenses over a specified period of time. This report will provide a comparison of actual revenues and expenses to what's been budgeted for the period, and provide a variance.",period_type,FALSE,,TRUE,TRUE,NA,
income_statement_-_budget_vs_actual,"The Income Statement Budget v. Actual, is a financial statement that shows a company's revenue and expenses over a specified period of time. This report will provide a comparison of actual revenues and expenses to what's been budgeted for the period, and provide a variance.",period_type,FALSE,,TRUE,TRUE,NA,
income_statement_-_budget_vs_actual,"The Income Statement Budget v. Actual, is a financial statement that shows a company's revenue and expenses over a specified period of time. This report will provide a comparison of actual revenues and expenses to what's been budgeted for the period, and provide a variance.",period_type,FALSE,,TRUE,TRUE,NA,
