property_id,property_name,property_type,website,address,email,is_disabled,is_featured_property,is_active,year_built,short_description,long_description,parent_property_id,created_at,updated_at
739085,1047 Commonwealth Avenue,Student,https://1047commonwealthavenue.prospectportal.com/,1047 Commonwealth Avenue,info@1047commonwealth.com,FALSE,FALSE,TRUE,NA,NA,NA,NA,2024-12-17T02:13:31Z,2024-12-17T02:13:31Z
518041,The Academy at Frisco,Student,http://www.theacademyatfrisco.com,413 N West Ave,info@theacademyatfrisco.com,FALSE,FALSE,TRUE,2012,NA,NA,NA,2024-12-17T02:13:31Z,2024-12-17T02:13:31Z
518042,The Academy on Charles,Student,http://www.theacademyoncharles.com,3700 N Charles St,info@theacademyoncharles.com,FALSE,FALSE,TRUE,2012,NA,NA,NA,2024-12-17T02:13:31Z,2024-12-17T02:13:31Z
518044,Shortbread Lofts,Student,http://shortbreadlofts.com,333 W Rosemary Street,info@shortbreadlofts.com,FALSE,FALSE,TRUE,2014,NA,NA,NA,2024-12-17T02:13:31Z,2024-12-17T02:13:31Z
518046,The Rise at Northgate,Student,http://www.riseatnorthgate.com,717 University Dr,info@riseatnorthgate.com,FALSE,FALSE,TRUE,2013,NA,NA,NA,2024-12-17T02:13:31Z,2024-12-17T02:13:31Z
577897,Station Nine,Apartment,https://www.stationnine.com/,2211 Hillsborough Rd,leasing@stationnine.com,FALSE,FALSE,TRUE,2004,"Modern, Loft-Style Luxury Apartments in Durham, NC","Welcome to Station Nine, a premier apartment community, located in the heart of Ninth Street District, offering a true urban-living feel through our luxury apartments in Durham, NC! Our 1- and 2-bedroom apartments feature both open-concept and loft floor plans, giving you even bigger opportunities to make the place your own. Spacious interiors and modern design touches blend together with world-class amenities, including warm hardwood flooring, vaulted ceilings, large windows for lots of natural lighting, premium materials and finishes like granite counter tops, stainless steel appliances, an in-home washer and dryer, and private patio or balcony spaces so you can enjoy your natural surroundings at your leisure. As a resident, you&#039;ll also be able to relax by the resort-style pool, stay healthy in the fitness center, relax in the courtyards with friends, or grab a boost of energy from the coffee bar. Regardless of your lifestyle or living situation, Station Nine offers pet-friendly apartments with enough space and personality to keep you satisfied. We feel confident that you&#039;ll find your new home at Station Nine!",NA,2024-12-17T02:13:31Z,2024-12-17T02:13:31Z
641240,Academy 65,Student,https://www.academy65.com,1325 65th St,info@academy65.com,FALSE,FALSE,TRUE,2018,NA,NA,NA,2024-12-17T02:13:31Z,2024-12-17T02:13:31Z
676055,Academy Lincoln,Student,https://www.academylincoln.com/academy-lincoln-lincoln-nebraska/,1850 P Street,info@academylincoln.com,FALSE,FALSE,TRUE,NA,NA,NA,NA,2024-12-17T02:13:31Z,2024-12-17T02:13:31Z
739076,1008 S. 4th,Student,https://www.theacademycampustown.com/,1008 S. 4th,info@theacademycampustown.com,FALSE,FALSE,TRUE,NA,NA,NA,NA,2024-12-17T02:13:31Z,2024-12-17T02:13:31Z
739079,307 E. Daniel,Student,https://www.theacademycampustown.com/,307 E. Daniel,info@theacademycampustown.com,FALSE,FALSE,TRUE,NA,NA,NA,739076,2024-12-17T02:13:31Z,2024-12-17T02:13:31Z
