property_id,property_name,leasing_week_start,fees_name,fees_amount,fees_frequency
739085,1047 Commonwealth Avenue,2024-12-01,Application Fee,0,Monthly
739085,1047 Commonwealth Avenue,2024-12-01,Administration Fee,0,Monthly
739085,1047 Commonwealth Avenue,2024-12-01,Utility Set Up Fee,0,Monthly
739085,1047 Commonwealth Avenue,2024-12-01,Utility Deposit,0,Monthly
739085,1047 Commonwealth Avenue,2024-12-01,Amenity Fee,0,Monthly
739085,1047 Commonwealth Avenue,2024-12-01,Common Area Fee,0,Monthly
739085,1047 Commonwealth Avenue,2024-12-01,Smart Home Fee,0,Monthly
739085,1047 Commonwealth Avenue,2024-12-01,Restoration Fee,0,Monthly
739085,1047 Commonwealth Avenue,2024-12-01,Security Deposit,1000,Monthly
739085,1047 Commonwealth Avenue,2024-12-01,Pet Fee,0,Monthly
739085,1047 Commonwealth Avenue,2024-12-01,Pet Deposit,0,Monthly
739085,1047 Commonwealth Avenue,2024-12-01,Pet Rent,0,Monthly
boylston,1330 Boylston,2024-12-01,Application Fee,250,Monthly
boylston,1330 Boylston,2024-12-01,Administration Fee,0,Monthly
boylston,1330 Boylston,2024-12-01,Utility Set Up Fee,0,Monthly
boylston,1330 Boylston,2024-12-01,Utility Deposit,0,Monthly
boylston,1330 Boylston,2024-12-01,Amenity Fee,0,Monthly
boylston,1330 Boylston,2024-12-01,Common Area Fee,0,Monthly
boylston,1330 Boylston,2024-12-01,Smart Home Fee,0,Monthly
boylston,1330 Boylston,2024-12-01,Restoration Fee,0,Monthly
boylston,1330 Boylston,2024-12-01,Security Deposit,1000,Monthly
boylston,1330 Boylston,2024-12-01,Pet Fee,0,Monthly
boylston,1330 Boylston,2024-12-01,Pet Deposit,0,Monthly
boylston,1330 Boylston,2024-12-01,Per Rent - Dog,100,Monthly
boylston,1330 Boylston,2024-12-01,Pet Rent - Cat,50,Monthly
vanness,Van Ness,2024-12-01,Application Fee,0,Monthly
vanness,Van Ness,2024-12-01,Administration Fee,0,Monthly
vanness,Van Ness,2024-12-01,Utility Set Up Fee,0,Monthly
vanness,Van Ness,2024-12-01,Utility Deposit,0,Monthly
vanness,Van Ness,2024-12-01,Amenity Fee,0,Monthly
vanness,Van Ness,2024-12-01,Common Area Fee,0,Monthly
vanness,Van Ness,2024-12-01,Smart Home Fee,0,Monthly
vanness,Van Ness,2024-12-01,Restoration Fee,0,Monthly
vanness,Van Ness,2024-12-01,Security Deposit,500,Monthly
vanness,Van Ness,2024-12-01,Pet Fee,0,Monthly
vanness,Van Ness,2024-12-01,Pet Deposit,0,Monthly
vanness,Van Ness,2024-12-01,Per Rent - Dog,100,Monthly
vanness,Van Ness,2024-12-01,Pet Rent - Cat,50,Monthly
bower,Bower,2024-12-01,Application Fee,0,Monthly
bower,Bower,2024-12-01,Administration Fee,0,Monthly
bower,Bower,2024-12-01,Utility Set Up Fee,0,Monthly
bower,Bower,2024-12-01,Utility Deposit,0,Monthly
bower,Bower,2024-12-01,Amenity Fee,0,Monthly
bower,Bower,2024-12-01,Common Area Fee,0,Monthly
bower,Bower,2024-12-01,Smart Home Fee,0,Monthly
bower,Bower,2024-12-01,Restoration Fee,0,Monthly
bower,Bower,2024-12-01,Security Deposit,500,Monthly
bower,Bower,2024-12-01,Pet Fee,0,Monthly
bower,Bower,2024-12-01,Pet Deposit,0,Monthly
bower,Bower,2024-12-01,Pet Rent,35,Monthly
